Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.448649999999999,min
Min cumulative indexing time across primary shards,,3.091666666666667,min
Median cumulative indexing time across primary shards,,3.1026666666666665,min
Max cumulative indexing time across primary shards,,3.2543166666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.37965,min
Cumulative merge count of primary shards,,68,
Min cumulative merge time across primary shards,,1.0346666666666666,min
Median cumulative merge time across primary shards,,1.0934666666666668,min
Max cumulative merge time across primary shards,,1.2515166666666666,min
Cumulative merge throttle time of primary shards,,0.9696,min
Min cumulative merge throttle time across primary shards,,0.26406666666666667,min
Median cumulative merge throttle time across primary shards,,0.2843,min
Max cumulative merge throttle time across primary shards,,0.42123333333333335,min
Cumulative refresh time of primary shards,,0.6899666666666667,min
Cumulative refresh count of primary shards,,49,
Min cumulative refresh time across primary shards,,0.19435,min
Median cumulative refresh time across primary shards,,0.24536666666666665,min
Max cumulative refresh time across primary shards,,0.25025000000000003,min
Cumulative flush time of primary shards,,0.2786666666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07465000000000001,min
Median cumulative flush time across primary shards,,0.0935,min
Max cumulative flush time across primary shards,,0.11051666666666667,min
Total Young Gen GC time,,2.556,s
Total Young Gen GC count,,138,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.733939055353403,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,41,
error rate,index-append,0.00,%
Min Throughput,match-all,15867.20,ops/s
Mean Throughput,match-all,17641.27,ops/s
Median Throughput,match-all,18029.76,ops/s
Max Throughput,match-all,18803.05,ops/s
50th percentile latency,match-all,3289.9288874998547,ms
90th percentile latency,match-all,4549.700431199858,ms
99th percentile latency,match-all,5346.674344660058,ms
99.9th percentile latency,match-all,6565.876977941036,ms
99.99th percentile latency,match-all,6665.673480623272,ms
100th percentile latency,match-all,6686.619617999895,ms
50th percentile service time,match-all,1.2980784999854222,ms
90th percentile service time,match-all,1.7148138000266044,ms
99th percentile service time,match-all,52.852408549968004,ms
99.9th percentile service time,match-all,94.00882055299402,ms
99.99th percentile service time,match-all,126.06515251543335,ms
100th percentile service time,match-all,252.87617200001478,ms
error rate,match-all,0.00,%
Min Throughput,term,15124.66,ops/s
Mean Throughput,term,16929.96,ops/s
Median Throughput,term,17180.88,ops/s
Max Throughput,term,18233.40,ops/s
50th percentile latency,term,3167.703950499913,ms
90th percentile latency,term,4245.711608299962,ms
99th percentile latency,term,4728.65794125002,ms
99.9th percentile latency,term,4855.665001695053,ms
99.99th percentile latency,term,4980.8630041743,ms
100th percentile latency,term,5003.047926999898,ms
50th percentile service time,term,1.355429499881211,ms
90th percentile service time,term,1.7559159999109397,ms
99th percentile service time,term,50.393954679911985,ms
99.9th percentile service time,term,68.1220488111621,ms
99.99th percentile service time,term,159.94986842122074,ms
100th percentile service time,term,206.2017299999752,ms
error rate,term,0.00,%
Min Throughput,phrase,13695.11,ops/s
Mean Throughput,phrase,16324.16,ops/s
Median Throughput,phrase,16394.94,ops/s
Max Throughput,phrase,18155.57,ops/s
50th percentile latency,phrase,3454.5614830000204,ms
90th percentile latency,phrase,4693.922807800186,ms
99th percentile latency,phrase,6386.998151110197,ms
99.9th percentile latency,phrase,6773.520785021087,ms
99.99th percentile latency,phrase,6870.201204551379,ms
100th percentile latency,phrase,6892.923196000083,ms
50th percentile service time,phrase,1.5800749998788888,ms
90th percentile service time,phrase,2.066475299989179,ms
99th percentile service time,phrase,46.672314189781915,ms
99.9th percentile service time,phrase,99.70439244918045,ms
99.99th percentile service time,phrase,111.57812134990947,ms
100th percentile service time,phrase,186.57323999991604,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,141.62,ops/s
Mean Throughput,country_agg_uncached,141.81,ops/s
Median Throughput,country_agg_uncached,141.83,ops/s
Max Throughput,country_agg_uncached,141.97,ops/s
50th percentile latency,country_agg_uncached,112564.30758,ms
90th percentile latency,country_agg_uncached,130519.32296589992,ms
99th percentile latency,country_agg_uncached,134374.2942218099,ms
99.9th percentile latency,country_agg_uncached,134878.920455182,ms
100th percentile latency,country_agg_uncached,135031.06998499992,ms
50th percentile service time,country_agg_uncached,410.0125324999908,ms
90th percentile service time,country_agg_uncached,594.2193983998551,ms
99th percentile service time,country_agg_uncached,719.7796516900145,ms
99.9th percentile service time,country_agg_uncached,790.9088304659291,ms
100th percentile service time,country_agg_uncached,854.8868129998937,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2354.88,pages/s
Mean Throughput,scroll,2358.58,pages/s
Median Throughput,scroll,2358.63,pages/s
Max Throughput,scroll,2362.09,pages/s
50th percentile latency,scroll,169272.23401250012,ms
90th percentile latency,scroll,196262.7957692998,ms
99th percentile latency,scroll,202111.43656406013,ms
99.9th percentile latency,scroll,202714.34638824407,ms
100th percentile latency,scroll,203115.71525400018,ms
50th percentile service time,scroll,631.4653444999294,ms
90th percentile service time,scroll,723.8175594000495,ms
99th percentile service time,scroll,880.8099285400323,ms
99.9th percentile service time,scroll,925.6490735309168,ms
100th percentile service time,scroll,997.504365000168,ms
error rate,scroll,0.00,%
