Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.3557,min
Min cumulative indexing time across primary shards,,2.4131,min
Median cumulative indexing time across primary shards,,2.46515,min
Max cumulative indexing time across primary shards,,2.4774499999999997,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.4321833333333336,min
Cumulative merge count of primary shards,,69,
Min cumulative merge time across primary shards,,0.9387833333333333,min
Median cumulative merge time across primary shards,,1.2234833333333335,min
Max cumulative merge time across primary shards,,1.2699166666666666,min
Cumulative merge throttle time of primary shards,,1.4115666666666666,min
Min cumulative merge throttle time across primary shards,,0.3059,min
Median cumulative merge throttle time across primary shards,,0.50445,min
Max cumulative merge throttle time across primary shards,,0.6012166666666666,min
Cumulative refresh time of primary shards,,0.27144999999999997,min
Cumulative refresh count of primary shards,,56,
Min cumulative refresh time across primary shards,,0.06858333333333334,min
Median cumulative refresh time across primary shards,,0.0925,min
Max cumulative refresh time across primary shards,,0.11036666666666667,min
Cumulative flush time of primary shards,,0.22371666666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.06665,min
Median cumulative flush time across primary shards,,0.07623333333333333,min
Max cumulative flush time across primary shards,,0.08083333333333333,min
Total Young Gen GC time,,129.443,s
Total Young Gen GC count,,4954,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.797173843719065,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,36,
error rate,index-append,0.00,%
Min Throughput,index-stats,1999.08,ops/s
Mean Throughput,index-stats,1999.88,ops/s
Median Throughput,index-stats,1999.63,ops/s
Max Throughput,index-stats,2001.67,ops/s
50th percentile latency,index-stats,1.4720360004503164,ms
90th percentile latency,index-stats,1.925779501107172,ms
99th percentile latency,index-stats,2.2826451003857073,ms
99.9th percentile latency,index-stats,10.431531236198275,ms
99.99th percentile latency,index-stats,62.66113128218396,ms
100th percentile latency,index-stats,67.84233200050949,ms
50th percentile service time,index-stats,0.7029395001154626,ms
90th percentile service time,index-stats,0.955692101160821,ms
99th percentile service time,index-stats,1.193693579625689,ms
99.9th percentile service time,index-stats,3.167853633109226,ms
99.99th percentile service time,index-stats,61.59768870166411,ms
100th percentile service time,index-stats,67.39302500136546,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1993.57,ops/s
Mean Throughput,node-stats,1998.59,ops/s
Median Throughput,node-stats,1998.93,ops/s
Max Throughput,node-stats,2000.43,ops/s
50th percentile latency,node-stats,2.8074940000806237,ms
90th percentile latency,node-stats,3.92258510019019,ms
99th percentile latency,node-stats,16.849392339263538,ms
