Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.2467,min
Min cumulative indexing time across primary shards,,2.638383333333333,min
Median cumulative indexing time across primary shards,,2.67815,min
Max cumulative indexing time across primary shards,,2.9301666666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.186,min
Cumulative merge count of primary shards,,50,
Min cumulative merge time across primary shards,,0.7936666666666666,min
Median cumulative merge time across primary shards,,1.0064,min
Max cumulative merge time across primary shards,,1.3859333333333335,min
Cumulative merge throttle time of primary shards,,0.85065,min
Min cumulative merge throttle time across primary shards,,0.19478333333333334,min
Median cumulative merge throttle time across primary shards,,0.30376666666666663,min
Max cumulative merge throttle time across primary shards,,0.3521,min
Cumulative refresh time of primary shards,,0.6304833333333334,min
Cumulative refresh count of primary shards,,44,
Min cumulative refresh time across primary shards,,0.04128333333333333,min
Median cumulative refresh time across primary shards,,0.22891666666666666,min
Max cumulative refresh time across primary shards,,0.36028333333333334,min
Cumulative flush time of primary shards,,0.6978500000000001,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07041666666666666,min
Median cumulative flush time across primary shards,,0.17791666666666667,min
Max cumulative flush time across primary shards,,0.4495166666666667,min
Total Young Gen GC time,,1.571,s
Total Young Gen GC count,,140,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.698907386511564,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,39,
error rate,index-append,0.00,%
Min Throughput,match-all,11319.33,ops/s
Mean Throughput,match-all,13011.28,ops/s
Median Throughput,match-all,13297.72,ops/s
Max Throughput,match-all,14467.40,ops/s
50th percentile latency,match-all,4288.753374500061,ms
90th percentile latency,match-all,7684.734759200023,ms
99th percentile latency,match-all,8125.657800350057,ms
99.9th percentile latency,match-all,8309.0595720939,ms
99.99th percentile latency,match-all,8338.458208191176,ms
100th percentile latency,match-all,8345.656737000127,ms
50th percentile service time,match-all,2.2096059999512363,ms
90th percentile service time,match-all,11.115170400057648,ms
99th percentile service time,match-all,48.55292245996227,ms
99.9th percentile service time,match-all,92.61791066303981,ms
99.99th percentile service time,match-all,406.17195741497164,ms
100th percentile service time,match-all,541.9899880000685,ms
error rate,match-all,0.00,%
Min Throughput,term,11785.10,ops/s
Mean Throughput,term,14152.68,ops/s
Median Throughput,term,14790.84,ops/s
Max Throughput,term,15234.25,ops/s
50th percentile latency,term,4111.559748500099,ms
90th percentile latency,term,7311.755659600021,ms
99th percentile latency,term,7766.339462929968,ms
99.9th percentile latency,term,7837.424494077104,ms
99.99th percentile latency,term,7858.608025072177,ms
100th percentile latency,term,7865.890382000089,ms
50th percentile service time,term,1.468667500034826,ms
90th percentile service time,term,4.189809700073956,ms
99th percentile service time,term,69.4834700799038,ms
99.9th percentile service time,term,88.81199563915219,ms
99.99th percentile service time,term,105.38098301054899,ms
100th percentile service time,term,194.61780500000714,ms
error rate,term,0.00,%
Min Throughput,phrase,15928.97,ops/s
Mean Throughput,phrase,17884.98,ops/s
Median Throughput,phrase,18310.36,ops/s
Max Throughput,phrase,18817.29,ops/s
50th percentile latency,phrase,3307.311441500019,ms
90th percentile latency,phrase,4585.326912000073,ms
99th percentile latency,phrase,5257.789832959832,ms
99.9th percentile latency,phrase,6344.372979321969,ms
99.99th percentile latency,phrase,6361.473721950756,ms
100th percentile latency,phrase,6367.2004920001655,ms
50th percentile service time,phrase,1.6076614999747108,ms
90th percentile service time,phrase,2.1375086000261945,ms
99th percentile service time,phrase,45.36317962988506,ms
99.9th percentile service time,phrase,92.63123115600467,ms
99.99th percentile service time,phrase,99.54160958733003,ms
100th percentile service time,phrase,184.04199699989476,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,157.41,ops/s
Mean Throughput,country_agg_uncached,157.93,ops/s
Median Throughput,country_agg_uncached,157.97,ops/s
Max Throughput,country_agg_uncached,158.34,ops/s
50th percentile latency,country_agg_uncached,100433.04549649998,ms
90th percentile latency,country_agg_uncached,116450.21931549994,ms
99th percentile latency,country_agg_uncached,119914.39973255004,ms
99.9th percentile latency,country_agg_uncached,120455.21728029929,ms
100th percentile latency,country_agg_uncached,120838.60497700016,ms
50th percentile service time,country_agg_uncached,393.45356299986634,ms
90th percentile service time,country_agg_uncached,481.4047044998915,ms
99th percentile service time,country_agg_uncached,569.4790341101361,ms
99.9th percentile service time,country_agg_uncached,640.6283737280739,ms
100th percentile service time,country_agg_uncached,706.7376550000972,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,1679.22,pages/s
Mean Throughput,scroll,1704.25,pages/s
Median Throughput,scroll,1702.14,pages/s
Max Throughput,scroll,1724.69,pages/s
50th percentile latency,scroll,234457.0840859999,ms
90th percentile latency,scroll,269348.73986520007,ms
99th percentile latency,scroll,276498.03120925,ms
99.9th percentile latency,scroll,277525.5678801799,ms
100th percentile latency,scroll,278054.3452270001,ms
50th percentile service time,scroll,836.3661495000088,ms
90th percentile service time,scroll,1013.8783482000464,ms
99th percentile service time,scroll,1197.5727121999425,ms
99.9th percentile service time,scroll,1402.5488706128788,ms
100th percentile service time,scroll,1611.512558999948,ms
error rate,scroll,0.00,%
