Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.343616666666667,min
Min cumulative indexing time across primary shards,,2.3633499999999996,min
Median cumulative indexing time across primary shards,,2.3928000000000003,min
Max cumulative indexing time across primary shards,,2.5874666666666664,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.8194,min
Cumulative merge count of primary shards,,69,
Min cumulative merge time across primary shards,,0.9932333333333333,min
Median cumulative merge time across primary shards,,1.1957166666666665,min
Max cumulative merge time across primary shards,,1.63045,min
Cumulative merge throttle time of primary shards,,1.81485,min
Min cumulative merge throttle time across primary shards,,0.3867333333333333,min
Median cumulative merge throttle time across primary shards,,0.43770000000000003,min
Max cumulative merge throttle time across primary shards,,0.9904166666666666,min
Cumulative refresh time of primary shards,,0.5851333333333333,min
Cumulative refresh count of primary shards,,58,
Min cumulative refresh time across primary shards,,0.14323333333333332,min
Median cumulative refresh time across primary shards,,0.16238333333333335,min
Max cumulative refresh time across primary shards,,0.2795166666666667,min
Cumulative flush time of primary shards,,0.5844,min
Cumulative flush count of primary shards,,10,
Min cumulative flush time across primary shards,,0.13215000000000002,min
Median cumulative flush time across primary shards,,0.19446666666666665,min
Max cumulative flush time across primary shards,,0.25778333333333336,min
Total Young Gen GC time,,120.625,s
Total Young Gen GC count,,4995,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.757115602493286,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,27,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.85,ops/s
Mean Throughput,index-stats,1999.76,ops/s
Median Throughput,index-stats,1999.51,ops/s
Max Throughput,index-stats,2001.61,ops/s
50th percentile latency,index-stats,1.4909660012563108,ms
90th percentile latency,index-stats,1.9382181013497757,ms
99th percentile latency,index-stats,2.2856120199867305,ms
99.9th percentile latency,index-stats,10.07108490033983,ms
99.99th percentile latency,index-stats,65.34765909802263,ms
100th percentile latency,index-stats,68.39671399939107,ms
50th percentile service time,index-stats,0.718661999599135,ms
90th percentile service time,index-stats,0.9455047998926602,ms
99th percentile service time,index-stats,1.1652966001747702,ms
99.9th percentile service time,index-stats,3.228275689165606,ms
99.99th percentile service time,index-stats,64.31288600327524,ms
100th percentile service time,index-stats,67.75772199944186,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1990.42,ops/s
Mean Throughput,node-stats,1997.86,ops/s
Median Throughput,node-stats,1998.42,ops/s
Max Throughput,node-stats,2000.23,ops/s
50th percentile latency,node-stats,2.716858499297814,ms
90th percentile latency,node-stats,3.719103600633389,ms
99th percentile latency,node-stats,8.244102328699283,ms
99.9th percentile latency,node-stats,56.06792074131493,ms
99.99th percentile latency,node-stats,98.12675000154663,ms
100th percentile latency,node-stats,125.00483999792777,ms
50th percentile service time,node-stats,1.960877000783512,ms
90th percentile service time,node-stats,2.691598601086298,ms
99th percentile service time,node-stats,3.3514830997773974,ms
99.9th percentile service time,node-stats,20.169183645041958,ms
99.99th percentile service time,node-stats,93.82321266069579,ms
100th percentile service time,node-stats,112.87609499959217,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,1995.52,ops/s
Mean Throughput,match-all,1997.38,ops/s
Median Throughput,match-all,1997.62,ops/s
Max Throughput,match-all,1998.37,ops/s
50th percentile latency,match-all,1.8582655011414317,ms
90th percentile latency,match-all,2.312841301136359,ms
99th percentile latency,match-all,2.6698763302738375,ms
99.9th percentile latency,match-all,14.158978039726215,ms
99.99th percentile latency,match-all,23.946063589298824,ms
100th percentile latency,match-all,25.79496799990011,ms
50th percentile service time,match-all,1.0615584997140104,ms
90th percentile service time,match-all,1.3192126003559679,ms
99th percentile service time,match-all,1.5807042094820647,ms
99.9th percentile service time,match-all,12.741293572205949,ms
99.99th percentile service time,match-all,22.854658768248214,ms
100th percentile service time,match-all,24.539504000131274,ms
error rate,match-all,0.00,%
Min Throughput,term,1998.82,ops/s
