Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.936833333333333,min
Min cumulative indexing time across primary shards,,2.5342,min
Median cumulative indexing time across primary shards,,2.68655,min
Max cumulative indexing time across primary shards,,2.716083333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,2.7770333333333337,min
Cumulative merge count of primary shards,,68,
Min cumulative merge time across primary shards,,0.7114833333333334,min
Median cumulative merge time across primary shards,,1.0273666666666668,min
Max cumulative merge time across primary shards,,1.0381833333333332,min
Cumulative merge throttle time of primary shards,,0.9234666666666667,min
Min cumulative merge throttle time across primary shards,,0.2749833333333333,min
Median cumulative merge throttle time across primary shards,,0.31465000000000004,min
Max cumulative merge throttle time across primary shards,,0.33383333333333337,min
Cumulative refresh time of primary shards,,0.44995,min
Cumulative refresh count of primary shards,,49,
Min cumulative refresh time across primary shards,,0.08803333333333334,min
Median cumulative refresh time across primary shards,,0.12978333333333333,min
Max cumulative refresh time across primary shards,,0.23213333333333336,min
Cumulative flush time of primary shards,,0.48815000000000003,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07583333333333334,min
Median cumulative flush time across primary shards,,0.08545,min
Max cumulative flush time across primary shards,,0.32686666666666664,min
Total Young Gen GC time,,176.45,s
Total Young Gen GC count,,5953,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.7933872593566775,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,42,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.88,ops/s
Mean Throughput,index-stats,499.94,ops/s
Median Throughput,index-stats,499.94,ops/s
Max Throughput,index-stats,500.29,ops/s
50th percentile latency,index-stats,1.6719805007596733,ms
90th percentile latency,index-stats,2.118813799847885,ms
99th percentile latency,index-stats,2.4745561499344153,ms
99.9th percentile latency,index-stats,3.3940938869178017,ms
