Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.4642,min
Min cumulative indexing time across primary shards,,2.7550000000000003,min
Median cumulative indexing time across primary shards,,2.77135,min
Max cumulative indexing time across primary shards,,2.9378499999999996,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.7034666666666665,min
Cumulative merge count of primary shards,,70,
Min cumulative merge time across primary shards,,1.09305,min
Median cumulative merge time across primary shards,,1.26505,min
Max cumulative merge time across primary shards,,1.3453666666666666,min
Cumulative merge throttle time of primary shards,,0.95305,min
Min cumulative merge throttle time across primary shards,,0.29481666666666667,min
Median cumulative merge throttle time across primary shards,,0.3169666666666667,min
Max cumulative merge throttle time across primary shards,,0.34126666666666666,min
Cumulative refresh time of primary shards,,0.3724,min
Cumulative refresh count of primary shards,,54,
Min cumulative refresh time across primary shards,,0.07528333333333334,min
Median cumulative refresh time across primary shards,,0.13473333333333332,min
Max cumulative refresh time across primary shards,,0.16238333333333335,min
Cumulative flush time of primary shards,,0.2594166666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08126666666666667,min
Median cumulative flush time across primary shards,,0.08786666666666668,min
Max cumulative flush time across primary shards,,0.09028333333333333,min
Total Young Gen GC time,,96.211,s
Total Young Gen GC count,,4504,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.722422453574836,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,37,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.91,ops/s
Mean Throughput,index-stats,499.96,ops/s
Median Throughput,index-stats,499.95,ops/s
Max Throughput,index-stats,500.31,ops/s
50th percentile latency,index-stats,1.7656000013630546,ms
90th percentile latency,index-stats,2.2283635010353464,ms
99th percentile latency,index-stats,2.553404639886594,ms
99.9th percentile latency,index-stats,3.477476896822261,ms
99.99th percentile latency,index-stats,9.195282963246823,ms
100th percentile latency,index-stats,11.465024999779416,ms
50th percentile service time,index-stats,0.8997955000040747,ms
90th percentile service time,index-stats,1.1592338999662388,ms
99th percentile service time,index-stats,1.3809190202096033,ms
99.9th percentile service time,index-stats,1.565072955186459,ms
99.99th percentile service time,index-stats,7.05577158515715,ms
100th percentile service time,index-stats,10.144050000008065,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.19,ops/s
Mean Throughput,node-stats,499.62,ops/s
Median Throughput,node-stats,499.70,ops/s
Max Throughput,node-stats,501.73,ops/s
50th percentile latency,node-stats,3.1302974998652644,ms
90th percentile latency,node-stats,4.20507539972732,ms
99th percentile latency,node-stats,6.235420040084139,ms
99.9th percentile latency,node-stats,7.770591597820695,ms
99.99th percentile latency,node-stats,68.95646690609838,ms
100th percentile latency,node-stats,72.91923599996153,ms
50th percentile service time,node-stats,2.277568999943469,ms
90th percentile service time,node-stats,3.0649140999003066,ms
99th percentile service time,node-stats,5.236453400027587,ms
99.9th percentile service time,node-stats,6.701146480073789,ms
99.99th percentile service time,node-stats,68.28682489671445,ms
100th percentile service time,node-stats,72.31370499994227,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.11,ops/s
Mean Throughput,match-all,499.53,ops/s
Median Throughput,match-all,499.56,ops/s
Max Throughput,match-all,499.99,ops/s
50th percentile latency,match-all,2.2735340027111306,ms
90th percentile latency,match-all,2.743040300197208,ms
99th percentile latency,match-all,3.1229652499632725,ms
99.9th percentile latency,match-all,31.951454484890096,ms
99.99th percentile latency,match-all,77.70190687600284,ms
100th percentile latency,match-all,159.88026900595287,ms
50th percentile service time,match-all,1.3568755000505917,ms
90th percentile service time,match-all,1.6586548000304902,ms
99th percentile service time,match-all,1.941980730082378,ms
99.9th percentile service time,match-all,28.14740097291604,ms
99.99th percentile service time,match-all,76.87819747075295,ms
100th percentile service time,match-all,159.01281099991138,ms
error rate,match-all,0.00,%
Min Throughput,term,499.81,ops/s
Mean Throughput,term,499.90,ops/s
Median Throughput,term,499.91,ops/s
Max Throughput,term,499.94,ops/s
50th percentile latency,term,2.3883755000042584,ms
90th percentile latency,term,2.850715100430534,ms
99th percentile latency,term,3.209158002716778,ms
99.9th percentile latency,term,33.93816439999533,ms
99.99th percentile latency,term,87.67250814563224,ms
100th percentile latency,term,88.84937999982867,ms
50th percentile service time,term,1.4639219999708075,ms
90th percentile service time,term,1.765230700061693,ms
99th percentile service time,term,2.030862260082813,ms
99.9th percentile service time,term,33.32241159227817,ms
99.99th percentile service time,term,86.91124357843708,ms
100th percentile service time,term,87.75626800002101,ms
error rate,term,0.00,%
Min Throughput,phrase,499.73,ops/s
Mean Throughput,phrase,499.88,ops/s
Median Throughput,phrase,499.87,ops/s
Max Throughput,phrase,500.50,ops/s
50th percentile latency,phrase,2.503748504068426,ms
90th percentile latency,phrase,2.964059600071778,ms
99th percentile latency,phrase,3.3468199004073544,ms
99.9th percentile latency,phrase,27.913357092089093,ms
99.99th percentile latency,phrase,35.286841417581485,ms
100th percentile latency,phrase,39.92666800513689,ms
50th percentile service time,phrase,1.6014699999686854,ms
90th percentile service time,phrase,1.8871005997425527,ms
99th percentile service time,phrase,2.164794239783987,ms
99.9th percentile service time,phrase,26.972750917818892,ms
99.99th percentile service time,phrase,34.64906401376008,ms
100th percentile service time,phrase,39.03466999963712,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,166.50,ops/s
Mean Throughput,country_agg_uncached,167.04,ops/s
Median Throughput,country_agg_uncached,167.06,ops/s
Max Throughput,country_agg_uncached,167.43,ops/s
50th percentile latency,country_agg_uncached,63438.29255650007,ms
90th percentile latency,country_agg_uncached,73441.99689090002,ms
99th percentile latency,country_agg_uncached,75846.03227523,ms
