Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.386633333333332,min
Min cumulative indexing time across primary shards,,2.9614833333333332,min
Median cumulative indexing time across primary shards,,3.032766666666667,min
Max cumulative indexing time across primary shards,,3.3923833333333335,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.63445,min
Cumulative merge count of primary shards,,71,
Min cumulative merge time across primary shards,,1.0630833333333334,min
Median cumulative merge time across primary shards,,1.2629833333333333,min
Max cumulative merge time across primary shards,,1.3083833333333332,min
Cumulative merge throttle time of primary shards,,0.7855500000000001,min
Min cumulative merge throttle time across primary shards,,0.21806666666666666,min
Median cumulative merge throttle time across primary shards,,0.24766666666666665,min
Max cumulative merge throttle time across primary shards,,0.3198166666666667,min
Cumulative refresh time of primary shards,,0.5230666666666667,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.13845000000000002,min
Median cumulative refresh time across primary shards,,0.17688333333333334,min
Max cumulative refresh time across primary shards,,0.20773333333333335,min
Cumulative flush time of primary shards,,0.478,min
Cumulative flush count of primary shards,,10,
Min cumulative flush time across primary shards,,0.09188333333333333,min
Median cumulative flush time across primary shards,,0.11611666666666666,min
Max cumulative flush time across primary shards,,0.26999999999999996,min
Total Young Gen GC time,,210.015,s
Total Young Gen GC count,,5395,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.724940499290824,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,36,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.90,ops/s
Mean Throughput,index-stats,499.95,ops/s
Median Throughput,index-stats,499.95,ops/s
Max Throughput,index-stats,500.14,ops/s
50th percentile latency,index-stats,2.2011369999290764,ms
90th percentile latency,index-stats,3.0101505997890854,ms
99th percentile latency,index-stats,3.57059117977542,ms
99.9th percentile latency,index-stats,4.000832225481438,ms
99.99th percentile latency,index-stats,16.906118171647634,ms
100th percentile latency,index-stats,59.35272700344285,ms
50th percentile service time,index-stats,1.3007850000121834,ms
90th percentile service time,index-stats,2.1601239999199606,ms
99th percentile service time,index-stats,2.6629741400529388,ms
99.9th percentile service time,index-stats,2.961148468961492,ms
99.99th percentile service time,index-stats,16.45151301454034,ms
100th percentile service time,index-stats,58.06065899992063,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,496.55,ops/s
Mean Throughput,node-stats,499.19,ops/s
Median Throughput,node-stats,499.43,ops/s
Max Throughput,node-stats,500.34,ops/s
50th percentile latency,node-stats,4.1969909998442745,ms
90th percentile latency,node-stats,5.722983100008605,ms
99th percentile latency,node-stats,7.067158329816722,ms
99.9th percentile latency,node-stats,8.248896972951577,ms
99.99th percentile latency,node-stats,71.30075627654871,ms
100th percentile latency,node-stats,74.54627900006017,ms
50th percentile service time,node-stats,3.2932754999137615,ms
90th percentile service time,node-stats,4.779620599992995,ms
99th percentile service time,node-stats,6.089781660048177,ms
99.9th percentile service time,node-stats,7.223932726072723,ms
99.99th percentile service time,node-stats,70.56097611117715,ms
100th percentile service time,node-stats,73.4769299999698,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.24,ops/s
Mean Throughput,match-all,499.59,ops/s
Median Throughput,match-all,499.62,ops/s
Max Throughput,match-all,500.17,ops/s
50th percentile latency,match-all,2.955462500381145,ms
90th percentile latency,match-all,3.5507277004853677,ms
99th percentile latency,match-all,4.0418409197695855,ms
99.9th percentile latency,match-all,36.99319566505568,ms
99.99th percentile latency,match-all,58.35111673800459,ms
100th percentile latency,match-all,64.85609799983649,ms
50th percentile service time,match-all,2.0340654999699836,ms
90th percentile service time,match-all,2.6675527000634243,ms
99th percentile service time,match-all,3.1781791801086006,ms
99.9th percentile service time,match-all,36.39513073109497,ms
99.99th percentile service time,match-all,57.565901282457915,ms
100th percentile service time,match-all,64.3827629999123,ms
error rate,match-all,0.00,%
Min Throughput,term,499.81,ops/s
Mean Throughput,term,499.90,ops/s
Median Throughput,term,499.91,ops/s
Max Throughput,term,499.94,ops/s
50th percentile latency,term,2.684004505226767,ms
90th percentile latency,term,3.386103303409982,ms
