Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.521683333333334,min
Min cumulative indexing time across primary shards,,2.927316666666667,min
Median cumulative indexing time across primary shards,,3.1055833333333336,min
Max cumulative indexing time across primary shards,,3.488783333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.299783333333333,min
Cumulative merge count of primary shards,,64,
Min cumulative merge time across primary shards,,0.9887666666666667,min
Median cumulative merge time across primary shards,,1.0660166666666666,min
Max cumulative merge time across primary shards,,1.245,min
Cumulative merge throttle time of primary shards,,0.94515,min
Min cumulative merge throttle time across primary shards,,0.20585,min
Median cumulative merge throttle time across primary shards,,0.36373333333333335,min
Max cumulative merge throttle time across primary shards,,0.37556666666666666,min
Cumulative refresh time of primary shards,,0.8523999999999999,min
Cumulative refresh count of primary shards,,47,
Min cumulative refresh time across primary shards,,0.2730166666666667,min
Median cumulative refresh time across primary shards,,0.28961666666666663,min
Max cumulative refresh time across primary shards,,0.2897666666666667,min
Cumulative flush time of primary shards,,0.4247833333333333,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.11286666666666667,min
Median cumulative flush time across primary shards,,0.13731666666666667,min
Max cumulative flush time across primary shards,,0.1746,min
Total Young Gen GC time,,249.817,s
Total Young Gen GC count,,6152,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.7654234897345304,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,35,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.79,ops/s
Mean Throughput,index-stats,499.91,ops/s
Median Throughput,index-stats,499.90,ops/s
Max Throughput,index-stats,500.36,ops/s
50th percentile latency,index-stats,2.4944104998212424,ms
90th percentile latency,index-stats,3.329325802792482,ms
99th percentile latency,index-stats,3.815450700076326,ms
99.9th percentile latency,index-stats,4.129789345804755,ms
99.99th percentile latency,index-stats,5.1759031044332735,ms
100th percentile latency,index-stats,6.360786999948687,ms
50th percentile service time,index-stats,1.4241645000083736,ms
90th percentile service time,index-stats,2.2492361001468453,ms
99th percentile service time,index-stats,2.711945659884805,ms
99.9th percentile service time,index-stats,3.039342405997117,ms
99.99th percentile service time,index-stats,3.425849210541097,ms
100th percentile service time,index-stats,4.773698000008153,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,499.08,ops/s
Mean Throughput,node-stats,499.77,ops/s
Median Throughput,node-stats,499.84,ops/s
Max Throughput,node-stats,499.91,ops/s
50th percentile latency,node-stats,4.724323499885941,ms
90th percentile latency,node-stats,6.29716870005268,ms
99th percentile latency,node-stats,8.005270379901505,ms
99.9th percentile latency,node-stats,35.04055532908148,ms
99.99th percentile latency,node-stats,76.90298176054011,ms
100th percentile latency,node-stats,98.74893200003498,ms
50th percentile service time,node-stats,3.661702999920635,ms
90th percentile service time,node-stats,5.120174399985444,ms
99th percentile service time,node-stats,6.8571933598718715,ms
99.9th percentile service time,node-stats,34.05915126795948,ms
99.99th percentile service time,node-stats,75.79583530517372,ms
100th percentile service time,node-stats,97.70892500000627,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.17,ops/s
Mean Throughput,match-all,499.57,ops/s
Median Throughput,match-all,499.59,ops/s
Max Throughput,match-all,500.05,ops/s
50th percentile latency,match-all,2.9841780026345077,ms
90th percentile latency,match-all,3.714216605999354,ms
99th percentile latency,match-all,4.274417131209702,ms
99.9th percentile latency,match-all,22.126507445214013,ms
99.99th percentile latency,match-all,71.22260876442834,ms
100th percentile latency,match-all,73.19354200626549,ms
50th percentile service time,match-all,1.9097269999974742,ms
90th percentile service time,match-all,2.6605845998574296,ms
99th percentile service time,match-all,3.3064623400400723,ms
99.9th percentile service time,match-all,20.89818649417891,ms
99.99th percentile service time,match-all,69.99384830238871,ms
100th percentile service time,match-all,71.61250699982702,ms
error rate,match-all,0.00,%
Min Throughput,term,499.76,ops/s
Mean Throughput,term,499.87,ops/s
Median Throughput,term,499.88,ops/s
Max Throughput,term,499.92,ops/s
50th percentile latency,term,2.9857145027563092,ms
90th percentile latency,term,3.6593486041056167,ms
99th percentile latency,term,4.330888309586956,ms
99.9th percentile latency,term,5.091671842898063,ms
99.99th percentile latency,term,29.74417006952668,ms
100th percentile latency,term,30.16564100607866,ms
50th percentile service time,term,1.9285514999864972,ms
90th percentile service time,term,2.6396623997698043,ms
99th percentile service time,term,3.330595560119037,ms
99.9th percentile service time,term,3.9217370159599456,ms
99.99th percentile service time,term,28.750860134878334,ms
100th percentile service time,term,29.325228000288917,ms
error rate,term,0.00,%
Min Throughput,phrase,499.70,ops/s
Mean Throughput,phrase,499.83,ops/s
Median Throughput,phrase,499.85,ops/s
Max Throughput,phrase,499.90,ops/s
50th percentile latency,phrase,3.101687000707898,ms
90th percentile latency,phrase,3.7891288031914883,ms
99th percentile latency,phrase,4.280594520218984,ms
99.9th percentile latency,phrase,29.107759298914818,ms
99.99th percentile latency,phrase,34.23931105589726,ms
100th percentile latency,phrase,59.37891200028389,ms
50th percentile service time,phrase,1.9940879997193406,ms
90th percentile service time,phrase,2.737738099767739,ms
99th percentile service time,phrase,3.286924319936589,ms
99.9th percentile service time,phrase,27.502331141019596,ms
99.99th percentile service time,phrase,33.08110683841335,ms
100th percentile service time,phrase,58.85043200032669,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,138.15,ops/s
Mean Throughput,country_agg_uncached,138.64,ops/s
Median Throughput,country_agg_uncached,138.67,ops/s
Max Throughput,country_agg_uncached,139.00,ops/s
50th percentile latency,country_agg_uncached,82780.43205450012,ms
90th percentile latency,country_agg_uncached,95860.25570620019,ms
99th percentile latency,country_agg_uncached,98761.20350777029,ms
99.9th percentile latency,country_agg_uncached,99292.749563182,ms
100th percentile latency,country_agg_uncached,99448.84871300019,ms
50th percentile service time,country_agg_uncached,446.4997125003265,ms
90th percentile service time,country_agg_uncached,534.176087500191,ms
99th percentile service time,country_agg_uncached,610.3794379199918,ms
99.9th percentile service time,country_agg_uncached,658.863259317916,ms
100th percentile service time,country_agg_uncached,698.2460829999582,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,499.66,ops/s
Mean Throughput,country_agg_cached,499.77,ops/s
Median Throughput,country_agg_cached,499.77,ops/s
Max Throughput,country_agg_cached,499.83,ops/s
50th percentile latency,country_agg_cached,2.8194420049203472,ms
90th percentile latency,country_agg_cached,3.2226582107796276,ms
99th percentile latency,country_agg_cached,3.5351792621304416,ms
99.9th percentile latency,country_agg_cached,26.70779212437087,ms
99.99th percentile latency,country_agg_cached,38.35627269883649,ms
100th percentile latency,country_agg_cached,50.68624600608018,ms
50th percentile service time,country_agg_cached,1.752158999806852,ms
90th percentile service time,country_agg_cached,2.268110099976184,ms
99th percentile service time,country_agg_cached,2.6263241201831993,ms
99.9th percentile service time,country_agg_cached,25.47689777098934,ms
99.99th percentile service time,country_agg_cached,37.420807954895174,ms
100th percentile service time,country_agg_cached,49.675275000026886,ms
error rate,country_agg_cached,0.00,%
Min Throughput,scroll,2161.49,pages/s
Mean Throughput,scroll,2173.40,pages/s
Median Throughput,scroll,2173.70,pages/s
Max Throughput,scroll,2176.66,pages/s
50th percentile latency,scroll,152018.98679199984,ms
90th percentile latency,scroll,176618.26353389988,ms
99th percentile latency,scroll,182201.38714352984,ms
99.9th percentile latency,scroll,183270.13956188018,ms
100th percentile latency,scroll,183617.110527,ms
50th percentile service time,scroll,701.3161249999484,ms
90th percentile service time,scroll,813.8957084001504,ms
99th percentile service time,scroll,1009.6833641197602,ms
99.9th percentile service time,scroll,1107.5675029000631,ms
100th percentile service time,scroll,1196.5112300003966,ms
error rate,scroll,0.00,%
Min Throughput,expression,95.10,ops/s
Mean Throughput,expression,95.31,ops/s
Median Throughput,expression,95.32,ops/s
Max Throughput,expression,95.46,ops/s
50th percentile latency,expression,135061.6730175002,ms
90th percentile latency,expression,156599.45779479953,ms
99th percentile latency,expression,161377.16482142976,ms
99.9th percentile latency,expression,161912.47644848298,ms
100th percentile latency,expression,162406.31402200006,ms
50th percentile service time,expression,680.272954999964,ms
90th percentile service time,expression,769.7674432997246,ms
99th percentile service time,expression,857.6024421302827,ms
99.9th percentile service time,expression,911.3034442488057,ms
100th percentile service time,expression,993.4294790000422,ms
error rate,expression,0.00,%
Min Throughput,painless_static,74.41,ops/s
Mean Throughput,painless_static,74.63,ops/s
Median Throughput,painless_static,74.64,ops/s
Max Throughput,painless_static,74.73,ops/s
50th percentile latency,painless_static,182139.30503899994,ms
90th percentile latency,painless_static,211051.94471609994,ms
99th percentile latency,painless_static,217491.9081987997,ms
99.9th percentile latency,painless_static,218493.90130939436,ms
100th percentile latency,painless_static,218877.23026799996,ms
50th percentile service time,painless_static,861.6784734997509,ms
90th percentile service time,painless_static,990.8528971001033,ms
99th percentile service time,painless_static,1095.1341141999824,ms
99.9th percentile service time,painless_static,1204.0882279661246,ms
100th percentile service time,painless_static,1373.7740579999809,ms
error rate,painless_static,0.00,%
Min Throughput,painless_dynamic,66.62,ops/s
Mean Throughput,painless_dynamic,66.79,ops/s
Median Throughput,painless_dynamic,66.80,ops/s
Max Throughput,painless_dynamic,66.88,ops/s
50th percentile latency,painless_dynamic,207450.29561849992,ms
90th percentile latency,painless_dynamic,240389.94792960017,ms
99th percentile latency,painless_dynamic,247666.8886207103,ms
99.9th percentile latency,painless_dynamic,248785.07326435007,ms
