Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.402866666666666,min
Min cumulative indexing time across primary shards,,2.5747666666666666,min
Median cumulative indexing time across primary shards,,2.8525666666666667,min
Max cumulative indexing time across primary shards,,2.9755333333333334,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.063266666666666,min
Cumulative merge count of primary shards,,77,
Min cumulative merge time across primary shards,,1.3091666666666666,min
Median cumulative merge time across primary shards,,1.3667,min
Max cumulative merge time across primary shards,,1.3874,min
Cumulative merge throttle time of primary shards,,1.1023666666666665,min
Min cumulative merge throttle time across primary shards,,0.23788333333333334,min
Median cumulative merge throttle time across primary shards,,0.42073333333333335,min
Max cumulative merge throttle time across primary shards,,0.44375,min
Cumulative refresh time of primary shards,,0.35056666666666664,min
Cumulative refresh count of primary shards,,60,
Min cumulative refresh time across primary shards,,0.09056666666666667,min
Median cumulative refresh time across primary shards,,0.11876666666666667,min
Max cumulative refresh time across primary shards,,0.14123333333333335,min
Cumulative flush time of primary shards,,0.24545,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07728333333333333,min
Median cumulative flush time across primary shards,,0.07755,min
Max cumulative flush time across primary shards,,0.09061666666666666,min
Total Young Gen GC time,,94.471,s
Total Young Gen GC count,,4703,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.692827628925443,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,34,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.98,ops/s
Mean Throughput,index-stats,1999.66,ops/s
Median Throughput,index-stats,1999.53,ops/s
Max Throughput,index-stats,2001.78,ops/s
50th percentile latency,index-stats,1.6846800008352147,ms
90th percentile latency,index-stats,2.1574621001491323,ms
99th percentile latency,index-stats,2.561502820426541,ms
99.9th percentile latency,index-stats,11.268389882686218,ms
99.99th percentile latency,index-stats,62.92550831668368,ms
100th percentile latency,index-stats,81.2136719996488,ms
50th percentile service time,index-stats,0.9233844994014362,ms
90th percentile service time,index-stats,1.1747336991902557,ms
99th percentile service time,index-stats,1.4244820412932313,ms
99.9th percentile service time,index-stats,6.0243923663590895,ms
99.99th percentile service time,index-stats,61.799763961585484,ms
100th percentile service time,index-stats,80.25948800059268,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1991.23,ops/s
Mean Throughput,node-stats,1997.47,ops/s
Median Throughput,node-stats,1998.18,ops/s
Max Throughput,node-stats,1999.00,ops/s
50th percentile latency,node-stats,3.3706254998833174,ms
90th percentile latency,node-stats,4.5830964989363565,ms
99th percentile latency,node-stats,20.419600720088216,ms
99.9th percentile latency,node-stats,85.22686481059118,ms
99.99th percentile latency,node-stats,141.1149623851913,ms
100th percentile latency,node-stats,169.59964600027888,ms
50th percentile service time,node-stats,2.550199501456518,ms
90th percentile service time,node-stats,3.4675208004046,ms
99th percentile service time,node-stats,5.0965289501982625,ms
99.9th percentile service time,node-stats,51.27974808922894,ms
99.99th percentile service time,node-stats,87.61000068180425,ms
100th percentile service time,node-stats,97.62038600092637,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,1998.76,ops/s
Mean Throughput,match-all,1999.54,ops/s
Median Throughput,match-all,1999.45,ops/s
Max Throughput,match-all,2000.45,ops/s
50th percentile latency,match-all,2.198715000304219,ms
90th percentile latency,match-all,2.690836101464811,ms
99th percentile latency,match-all,3.129095572821826,ms
99.9th percentile latency,match-all,27.77568358544096,ms
99.99th percentile latency,match-all,51.998220410539176,ms
100th percentile latency,match-all,52.800498000578955,ms
50th percentile service time,match-all,1.425915500476549,ms
90th percentile service time,match-all,1.7186591992867761,ms
99th percentile service time,match-all,2.0159043495732476,ms
99.9th percentile service time,match-all,27.115200488142904,ms
99.99th percentile service time,match-all,51.33313011289936,ms
100th percentile service time,match-all,51.90950500036706,ms
error rate,match-all,0.00,%
Min Throughput,term,1995.45,ops/s
Mean Throughput,term,1997.39,ops/s
Median Throughput,term,1997.63,ops/s
