Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.221116666666667,min
Min cumulative indexing time across primary shards,,2.627133333333333,min
Median cumulative indexing time across primary shards,,2.7081666666666666,min
Max cumulative indexing time across primary shards,,2.8858166666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.8955833333333336,min
Cumulative merge count of primary shards,,75,
Min cumulative merge time across primary shards,,1.22625,min
Median cumulative merge time across primary shards,,1.2516833333333333,min
Max cumulative merge time across primary shards,,1.4176499999999999,min
Cumulative merge throttle time of primary shards,,0.8763166666666666,min
Min cumulative merge throttle time across primary shards,,0.16035000000000002,min
Median cumulative merge throttle time across primary shards,,0.29993333333333333,min
Max cumulative merge throttle time across primary shards,,0.4160333333333333,min
Cumulative refresh time of primary shards,,0.3939333333333333,min
Cumulative refresh count of primary shards,,59,
Min cumulative refresh time across primary shards,,0.08766666666666666,min
Median cumulative refresh time across primary shards,,0.08788333333333333,min
Max cumulative refresh time across primary shards,,0.21838333333333332,min
Cumulative flush time of primary shards,,0.4305,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08661666666666666,min
Median cumulative flush time across primary shards,,0.09551666666666667,min
Max cumulative flush time across primary shards,,0.24836666666666665,min
Total Young Gen GC time,,102.265,s
Total Young Gen GC count,,4693,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.69725798163563,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,37,
error rate,index-append,0.00,%
Min Throughput,index-stats,7192.92,ops/s
Mean Throughput,index-stats,7799.52,ops/s
Median Throughput,index-stats,7980.22,ops/s
Max Throughput,index-stats,7990.36,ops/s
50th percentile latency,index-stats,1.867813501121418,ms
90th percentile latency,index-stats,422.3237259007874,ms
99th percentile latency,index-stats,799.8392279898151,ms
99.9th percentile latency,index-stats,952.9367545953866,ms
99.99th percentile latency,index-stats,996.3030490418843,ms
100th percentile latency,index-stats,1004.470942001717,ms
50th percentile service time,index-stats,0.911044499844138,ms
90th percentile service time,index-stats,1.5592451005431933,ms
99th percentile service time,index-stats,72.59348309959027,ms
99.9th percentile service time,index-stats,99.06151641172984,ms
99.99th percentile service time,index-stats,392.2207881995974,ms
100th percentile service time,index-stats,401.1859509992064,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4125.49,ops/s
Mean Throughput,node-stats,4350.75,ops/s
Median Throughput,node-stats,4409.62,ops/s
Max Throughput,node-stats,4510.88,ops/s
50th percentile latency,node-stats,3792.4017215000276,ms
90th percentile latency,node-stats,5917.400978100704,ms
99th percentile latency,node-stats,6617.862307069973,ms
99.9th percentile latency,node-stats,6792.302473131052,ms
99.99th percentile latency,node-stats,6845.521982271454,ms
100th percentile latency,node-stats,6860.102712998923,ms
50th percentile service time,node-stats,3.125071500107879,ms
90th percentile service time,node-stats,37.45057700016332,ms
99th percentile service time,node-stats,72.94535503038787,ms
99.9th percentile service time,node-stats,102.89373206749171,ms
99.99th percentile service time,node-stats,391.6060601988529,ms
100th percentile service time,node-stats,519.3952320005337,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,7715.47,ops/s
Mean Throughput,match-all,7809.84,ops/s
Median Throughput,match-all,7811.97,ops/s
Max Throughput,match-all,7880.97,ops/s
50th percentile latency,match-all,2.049027499197109,ms
90th percentile latency,match-all,33.997898800589596,ms
99th percentile latency,match-all,364.1805390503398,ms
99.9th percentile latency,match-all,431.1364185937087,ms
99.99th percentile latency,match-all,452.09508475517504,ms
100th percentile latency,match-all,458.81660399936663,ms
50th percentile service time,match-all,1.231821999681415,ms
90th percentile service time,match-all,1.53292889954173,ms
99th percentile service time,match-all,19.550512509831638,ms
99.9th percentile service time,match-all,93.53468483608738,ms
99.99th percentile service time,match-all,104.1213699424733,ms
100th percentile service time,match-all,177.73183299868833,ms
error rate,match-all,0.00,%
Min Throughput,term,7777.60,ops/s
Mean Throughput,term,7946.57,ops/s
Median Throughput,term,7989.51,ops/s
Max Throughput,term,7993.28,ops/s
50th percentile latency,term,2.153824000743043,ms
90th percentile latency,term,214.70575720031775,ms
99th percentile latency,term,555.8738948716018,ms
99.9th percentile latency,term,614.3568892944323,ms
99.99th percentile latency,term,682.7370448422519,ms
100th percentile latency,term,702.1703249993152,ms
50th percentile service time,term,1.2832289994548773,ms
90th percentile service time,term,1.5971579992765326,ms
99th percentile service time,term,44.51121557976938,ms
99.9th percentile service time,term,99.64440499484962,ms
99.99th percentile service time,term,190.86620338608535,ms
100th percentile service time,term,218.71379599906504,ms
error rate,term,0.00,%
Min Throughput,phrase,7702.44,ops/s
Mean Throughput,phrase,7942.11,ops/s
Median Throughput,phrase,7986.59,ops/s
Max Throughput,phrase,7991.59,ops/s
50th percentile latency,phrase,2.3453090007024002,ms
90th percentile latency,phrase,190.72883800017735,ms
99th percentile latency,phrase,547.9700722996495,ms
99.9th percentile latency,phrase,618.5912777135278,ms
99.99th percentile latency,phrase,635.6863718761603,ms
100th percentile latency,phrase,642.78073999958,ms
50th percentile service time,phrase,1.5014379996500793,ms
90th percentile service time,phrase,1.84658640082489,ms
99th percentile service time,phrase,43.5010190782123,ms
99.9th percentile service time,phrase,99.11385636048396,ms
99.99th percentile service time,phrase,149.6694307682146,ms
100th percentile service time,phrase,193.45345699912286,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,154.07,ops/s
Mean Throughput,country_agg_uncached,154.47,ops/s
Median Throughput,country_agg_uncached,154.50,ops/s
Max Throughput,country_agg_uncached,154.76,ops/s
50th percentile latency,country_agg_uncached,101076.70555000004,ms
90th percentile latency,country_agg_uncached,117126.31776800154,ms
99th percentile latency,country_agg_uncached,120616.29115979963,ms
99.9th percentile latency,country_agg_uncached,121085.91435164376,ms
100th percentile latency,country_agg_uncached,121250.40238800102,ms
50th percentile service time,country_agg_uncached,393.0546805004269,ms
90th percentile service time,country_agg_uncached,499.02779380026914,ms
99th percentile service time,country_agg_uncached,571.9674719402246,ms
99.9th percentile service time,country_agg_uncached,622.9846008343015,ms
100th percentile service time,country_agg_uncached,671.0420899999008,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,7921.75,ops/s
Mean Throughput,country_agg_cached,7941.31,ops/s
Median Throughput,country_agg_cached,7943.22,ops/s
Max Throughput,country_agg_cached,7955.43,ops/s
50th percentile latency,country_agg_cached,2.077621500575333,ms
90th percentile latency,country_agg_cached,6.089401401004577,ms
99th percentile latency,country_agg_cached,108.66367047010505,ms
99.9th percentile latency,country_agg_cached,169.38833182067054,ms
99.99th percentile latency,country_agg_cached,194.87924263310907,ms
100th percentile latency,country_agg_cached,202.70309800071118,ms
50th percentile service time,country_agg_cached,1.1312669994367752,ms
90th percentile service time,country_agg_cached,1.9593188013459437,ms
99th percentile service time,country_agg_cached,11.197203479423486,ms
99.9th percentile service time,country_agg_cached,50.172840801131414,ms
99.99th percentile service time,country_agg_cached,66.93596495900584,ms
100th percentile service time,country_agg_cached,90.25932899930922,ms
error rate,country_agg_cached,0.00,%
Min Throughput,scroll,1763.16,pages/s
Mean Throughput,scroll,1802.06,pages/s
Median Throughput,scroll,1791.03,pages/s
Max Throughput,scroll,1876.32,pages/s
50th percentile latency,scroll,219457.53682349913,ms
90th percentile latency,scroll,246428.90556399926,ms
99th percentile latency,scroll,252066.8608284594,ms
99.9th percentile latency,scroll,253104.2794584104,ms
100th percentile latency,scroll,253418.275602,ms
50th percentile service time,scroll,693.8884819992381,ms
90th percentile service time,scroll,898.858500199276,ms
99th percentile service time,scroll,1142.9332221024015,ms
99.9th percentile service time,scroll,1312.5148778763012,ms
100th percentile service time,scroll,1402.0945619995473,ms
error rate,scroll,0.00,%
Min Throughput,expression,98.94,ops/s
Mean Throughput,expression,99.69,ops/s
Median Throughput,expression,99.70,ops/s
Max Throughput,expression,99.77,ops/s
50th percentile latency,expression,158387.1347509976,ms
90th percentile latency,expression,183725.24461980283,ms
99th percentile latency,expression,189270.2654311086,ms
