Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.977133333333333,min
Min cumulative indexing time across primary shards,,2.5444,min
Median cumulative indexing time across primary shards,,2.5966666666666667,min
Max cumulative indexing time across primary shards,,2.8360666666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.8447666666666667,min
Cumulative merge count of primary shards,,68,
Min cumulative merge time across primary shards,,1.0523166666666668,min
Median cumulative merge time across primary shards,,1.2601666666666667,min
Max cumulative merge time across primary shards,,1.5322833333333332,min
Cumulative merge throttle time of primary shards,,1.1873833333333332,min
Min cumulative merge throttle time across primary shards,,0.16566666666666666,min
Median cumulative merge throttle time across primary shards,,0.3065833333333333,min
Max cumulative merge throttle time across primary shards,,0.7151333333333334,min
Cumulative refresh time of primary shards,,0.5583666666666667,min
Cumulative refresh count of primary shards,,56,
Min cumulative refresh time across primary shards,,0.16688333333333333,min
Median cumulative refresh time across primary shards,,0.16748333333333332,min
Max cumulative refresh time across primary shards,,0.224,min
Cumulative flush time of primary shards,,0.42613333333333336,min
Cumulative flush count of primary shards,,10,
Min cumulative flush time across primary shards,,0.0824,min
Median cumulative flush time across primary shards,,0.1552666666666667,min
Max cumulative flush time across primary shards,,0.18846666666666667,min
Total Young Gen GC time,,1.961,s
Total Young Gen GC count,,141,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.6977882366627455,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,42,
error rate,index-append,0.00,%
Min Throughput,match-all,15794.38,ops/s
Mean Throughput,match-all,17652.19,ops/s
Median Throughput,match-all,18161.13,ops/s
Max Throughput,match-all,18545.71,ops/s
50th percentile latency,match-all,3324.301234499899,ms
90th percentile latency,match-all,4631.456104400149,ms
99th percentile latency,match-all,5954.905896500075,ms
99.9th percentile latency,match-all,6081.508268307018,ms
99.99th percentile latency,match-all,6108.16739901868,ms
100th percentile latency,match-all,6117.625008999994,ms
50th percentile service time,match-all,1.263522000044759,ms
90th percentile service time,match-all,1.7137698999931672,ms
99th percentile service time,match-all,56.139772109847854,ms
99.9th percentile service time,match-all,77.36783768299489,ms
99.99th percentile service time,match-all,176.9631493702626,ms
100th percentile service time,match-all,258.4231160001309,ms
error rate,match-all,0.00,%
Min Throughput,term,10919.80,ops/s
Mean Throughput,term,14991.28,ops/s
Median Throughput,term,15676.61,ops/s
Max Throughput,term,16650.55,ops/s
50th percentile latency,term,3210.086699000044,ms
90th percentile latency,term,4692.599899799893,ms
99th percentile latency,term,5884.949373850091,ms
99.9th percentile latency,term,5995.891224815056,ms
99.99th percentile latency,term,6026.375547033228,ms
100th percentile latency,term,6032.593385000155,ms
50th percentile service time,term,1.3359514999820021,ms
90th percentile service time,term,1.8385301001671903,ms
99th percentile service time,term,55.6736500899524,ms
99.9th percentile service time,term,72.67576457312879,ms
99.99th percentile service time,term,88.3196586452062,ms
100th percentile service time,term,104.35539900004187,ms
error rate,term,0.00,%
Min Throughput,phrase,12948.74,ops/s
Mean Throughput,phrase,15161.66,ops/s
Median Throughput,phrase,15645.58,ops/s
Max Throughput,phrase,16401.59,ops/s
50th percentile latency,phrase,3311.6603184998894,ms
90th percentile latency,phrase,4619.96743550003,ms
99th percentile latency,phrase,5958.059404399999,ms
99.9th percentile latency,phrase,6032.812512120055,ms
99.99th percentile latency,phrase,6054.426083736069,ms
100th percentile latency,phrase,6063.318165000055,ms
50th percentile service time,phrase,1.6112265000174375,ms
90th percentile service time,phrase,2.0983859000580196,ms
99th percentile service time,phrase,48.379958309901674,ms
99.9th percentile service time,phrase,81.8258883200923,ms
99.99th percentile service time,phrase,104.47320092295347,ms
100th percentile service time,phrase,156.3320110001314,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,160.80,ops/s
Mean Throughput,country_agg_uncached,161.56,ops/s
Median Throughput,country_agg_uncached,161.62,ops/s
Max Throughput,country_agg_uncached,162.06,ops/s
50th percentile latency,country_agg_uncached,97692.35748300015,ms
90th percentile latency,country_agg_uncached,113223.38201050008,ms
99th percentile latency,country_agg_uncached,116604.78692079014,ms
99.9th percentile latency,country_agg_uncached,117185.44651300691,ms
100th percentile latency,country_agg_uncached,117551.02902900011,ms
50th percentile service time,country_agg_uncached,361.22850749995905,ms
90th percentile service time,country_agg_uncached,506.15252810007405,ms
99th percentile service time,country_agg_uncached,606.1787271798722,ms
99.9th percentile service time,country_agg_uncached,658.8242204059877,ms
100th percentile service time,country_agg_uncached,760.790297000085,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,1699.33,pages/s
Mean Throughput,scroll,1706.91,pages/s
Median Throughput,scroll,1706.52,pages/s
Max Throughput,scroll,1712.44,pages/s
50th percentile latency,scroll,234272.10087450012,ms
90th percentile latency,scroll,271078.06459239975,ms
99th percentile latency,scroll,278943.16839911015,ms
99.9th percentile latency,scroll,280088.4218270341,ms
100th percentile latency,scroll,280407.52436900017,ms
50th percentile service time,scroll,877.7341230000957,ms
90th percentile service time,scroll,1052.248496099969,ms
99th percentile service time,scroll,1280.8437073698772,ms
99.9th percentile service time,scroll,1396.5046108869874,ms
100th percentile service time,scroll,1553.3808159998443,ms
error rate,scroll,0.00,%
