Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.8855,min
Min cumulative indexing time across primary shards,,2.9010833333333332,min
Median cumulative indexing time across primary shards,,2.9529666666666667,min
Max cumulative indexing time across primary shards,,3.03145,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.3037666666666667,min
Cumulative merge count of primary shards,,63,
Min cumulative merge time across primary shards,,0.9650333333333333,min
Median cumulative merge time across primary shards,,1.1200333333333332,min
Max cumulative merge time across primary shards,,1.2187,min
Cumulative merge throttle time of primary shards,,0.9574166666666667,min
Min cumulative merge throttle time across primary shards,,0.26571666666666666,min
Median cumulative merge throttle time across primary shards,,0.2933833333333334,min
Max cumulative merge throttle time across primary shards,,0.3983166666666667,min
Cumulative refresh time of primary shards,,0.6865166666666667,min
Cumulative refresh count of primary shards,,47,
Min cumulative refresh time across primary shards,,0.09608333333333333,min
Median cumulative refresh time across primary shards,,0.24054999999999999,min
Max cumulative refresh time across primary shards,,0.3498833333333333,min
Cumulative flush time of primary shards,,0.5419833333333333,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.16661666666666666,min
Median cumulative flush time across primary shards,,0.18498333333333333,min
Max cumulative flush time across primary shards,,0.19038333333333332,min
Total Young Gen GC time,,242.763,s
Total Young Gen GC count,,5501,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.8021975718438625,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,35,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.13,ops/s
Mean Throughput,index-stats,1999.02,ops/s
Median Throughput,index-stats,1999.09,ops/s
Max Throughput,index-stats,1999.63,ops/s
50th percentile latency,index-stats,2.190716500990675,ms
90th percentile latency,index-stats,3.1398322002132772,ms
99th percentile latency,index-stats,3.6952192285025376,ms
99.9th percentile latency,index-stats,10.24075845236629,ms
99.99th percentile latency,index-stats,65.22933373598232,ms
100th percentile latency,index-stats,70.95718699929421,ms
50th percentile service time,index-stats,1.3496905003194115,ms
90th percentile service time,index-stats,2.33394790066086,ms
99th percentile service time,index-stats,2.8153432507861007,ms
99.9th percentile service time,index-stats,3.34453752099581,ms
99.99th percentile service time,index-stats,64.39815344947442,ms
100th percentile service time,index-stats,70.59653500073182,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1989.43,ops/s
Mean Throughput,node-stats,1997.21,ops/s
Median Throughput,node-stats,1998.01,ops/s
Max Throughput,node-stats,1999.42,ops/s
50th percentile latency,node-stats,3.9156134998847847,ms
90th percentile latency,node-stats,5.38130579971039,ms
99th percentile latency,node-stats,39.55161860898459,ms
99.9th percentile latency,node-stats,167.71244628997744,ms
