Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.8588,min
Min cumulative indexing time across primary shards,,2.7897000000000003,min
Median cumulative indexing time across primary shards,,2.997516666666667,min
Max cumulative indexing time across primary shards,,3.0715833333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.699366666666666,min
Cumulative merge count of primary shards,,62,
Min cumulative merge time across primary shards,,1.2613833333333335,min
Median cumulative merge time across primary shards,,1.6786166666666666,min
Max cumulative merge time across primary shards,,1.7593666666666665,min
Cumulative merge throttle time of primary shards,,2.099416666666667,min
Min cumulative merge throttle time across primary shards,,0.40053333333333335,min
Median cumulative merge throttle time across primary shards,,0.7047333333333333,min
Max cumulative merge throttle time across primary shards,,0.99415,min
Cumulative refresh time of primary shards,,0.8118333333333333,min
Cumulative refresh count of primary shards,,55,
Min cumulative refresh time across primary shards,,0.19368333333333335,min
Median cumulative refresh time across primary shards,,0.2352,min
Max cumulative refresh time across primary shards,,0.38295,min
Cumulative flush time of primary shards,,0.34135000000000004,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07703333333333333,min
Median cumulative flush time across primary shards,,0.08251666666666665,min
Max cumulative flush time across primary shards,,0.1818,min
Total Young Gen GC time,,220.063,s
Total Young Gen GC count,,5439,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.732068624347448,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,35,
error rate,index-append,0.00,%
Min Throughput,index-stats,7804.40,ops/s
Mean Throughput,index-stats,7939.77,ops/s
Median Throughput,index-stats,7961.09,ops/s
Max Throughput,index-stats,7972.51,ops/s
50th percentile latency,index-stats,2.2677914994346793,ms
90th percentile latency,index-stats,97.07755750005161,ms
