Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.32455,min
Min cumulative indexing time across primary shards,,2.7335,min
Median cumulative indexing time across primary shards,,2.7614666666666663,min
Max cumulative indexing time across primary shards,,2.8295833333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.5070166666666664,min
Cumulative merge count of primary shards,,66,
Min cumulative merge time across primary shards,,1.1638333333333333,min
Median cumulative merge time across primary shards,,1.1705333333333334,min
Max cumulative merge time across primary shards,,1.17265,min
Cumulative merge throttle time of primary shards,,0.9583166666666667,min
Min cumulative merge throttle time across primary shards,,0.23916666666666667,min
Median cumulative merge throttle time across primary shards,,0.30976666666666663,min
Max cumulative merge throttle time across primary shards,,0.4093833333333333,min
Cumulative refresh time of primary shards,,0.4499166666666667,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.0949,min
Median cumulative refresh time across primary shards,,0.14833333333333334,min
Max cumulative refresh time across primary shards,,0.20668333333333333,min
Cumulative flush time of primary shards,,0.4007833333333333,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.0859,min
Median cumulative flush time across primary shards,,0.09421666666666666,min
Max cumulative flush time across primary shards,,0.22066666666666668,min
Total Young Gen GC time,,1.684,s
Total Young Gen GC count,,136,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.675320206210017,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,38,
error rate,index-append,0.00,%
Min Throughput,match-all,15694.71,ops/s
Mean Throughput,match-all,17415.98,ops/s
Median Throughput,match-all,17802.39,ops/s
Max Throughput,match-all,18378.29,ops/s
50th percentile latency,match-all,3362.2868664999714,ms
90th percentile latency,match-all,4647.21225140006,ms
99th percentile latency,match-all,6443.9770095196445,ms
99.9th percentile latency,match-all,6603.573704563138,ms
99.99th percentile latency,match-all,6674.44657976818,ms
100th percentile latency,match-all,6682.824452999739,ms
50th percentile service time,match-all,1.3529865000236896,ms
90th percentile service time,match-all,1.7635314000926883,ms
99th percentile service time,match-all,53.17054096001357,ms
99.9th percentile service time,match-all,98.98019966394656,ms
99.99th percentile service time,match-all,191.56443543409404,ms
100th percentile service time,match-all,400.23614099982296,ms
error rate,match-all,0.00,%
Min Throughput,term,14647.21,ops/s
Mean Throughput,term,16565.49,ops/s
Median Throughput,term,16673.17,ops/s
Max Throughput,term,17926.63,ops/s
50th percentile latency,term,3175.599539499899,ms
90th percentile latency,term,4377.223051900182,ms
99th percentile latency,term,4811.394958330247,ms
99.9th percentile latency,term,5322.820450569165,ms
99.99th percentile latency,term,5437.550405617426,ms
100th percentile latency,term,5446.744022000075,ms
50th percentile service time,term,1.3584369999080081,ms
90th percentile service time,term,1.7630510997605595,ms
99th percentile service time,term,51.98605493987998,ms
99.9th percentile service time,term,55.0501422640116,ms
99.99th percentile service time,term,58.280330855951846,ms
100th percentile service time,term,113.39456199993947,ms
error rate,term,0.00,%
Min Throughput,phrase,15738.10,ops/s
Mean Throughput,phrase,17182.15,ops/s
Median Throughput,phrase,17490.47,ops/s
Max Throughput,phrase,18280.38,ops/s
50th percentile latency,phrase,3347.337320499946,ms
90th percentile latency,phrase,4627.705401399817,ms
99th percentile latency,phrase,6219.819628989772,ms
99.9th percentile latency,phrase,6379.998682192183,ms
99.99th percentile latency,phrase,6419.894816592904,ms
100th percentile latency,phrase,6428.691790999892,ms
50th percentile service time,phrase,1.660865999838279,ms
90th percentile service time,phrase,2.1112040999469173,ms
99th percentile service time,phrase,45.11298988016279,ms
99.9th percentile service time,phrase,99.54042949070679,ms
99.99th percentile service time,phrase,188.90349630299497,ms
100th percentile service time,phrase,203.7156739997954,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,158.21,ops/s
Mean Throughput,country_agg_uncached,158.92,ops/s
Median Throughput,country_agg_uncached,158.98,ops/s
Max Throughput,country_agg_uncached,159.43,ops/s
50th percentile latency,country_agg_uncached,99228.78291949996,ms
90th percentile latency,country_agg_uncached,115014.36312200032,ms
99th percentile latency,country_agg_uncached,118422.78570859983,ms
99.9th percentile latency,country_agg_uncached,118937.0295056513,ms
100th percentile latency,country_agg_uncached,119277.9746920005,ms
50th percentile service time,country_agg_uncached,388.7012059999506,ms
90th percentile service time,country_agg_uncached,465.4878915000154,ms
99th percentile service time,country_agg_uncached,531.4251980700828,ms
99.9th percentile service time,country_agg_uncached,606.7732178019539,ms
100th percentile service time,country_agg_uncached,651.0576710002169,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2041.11,pages/s
Mean Throughput,scroll,2044.90,pages/s
Median Throughput,scroll,2044.84,pages/s
Max Throughput,scroll,2047.72,pages/s
50th percentile latency,scroll,195510.1500959995,ms
90th percentile latency,scroll,226826.2737668003,ms
99th percentile latency,scroll,233188.12317111992,ms
99.9th percentile latency,scroll,234546.8084522409,ms
100th percentile latency,scroll,235087.2037690001,ms
50th percentile service time,scroll,718.316633500308,ms
90th percentile service time,scroll,883.4738114996981,ms
99th percentile service time,scroll,1088.629940430419,ms
99.9th percentile service time,scroll,1189.9303506630674,ms
100th percentile service time,scroll,1295.9769079998296,ms
error rate,scroll,0.00,%
