Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.14665,min
Min cumulative indexing time across primary shards,,2.6492500000000003,min
Median cumulative indexing time across primary shards,,2.658266666666667,min
Max cumulative indexing time across primary shards,,2.8391333333333337,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.7349666666666668,min
Cumulative merge count of primary shards,,70,
Min cumulative merge time across primary shards,,1.0898166666666667,min
Median cumulative merge time across primary shards,,1.2747666666666668,min
Max cumulative merge time across primary shards,,1.3703833333333333,min
Cumulative merge throttle time of primary shards,,1.1844166666666667,min
Min cumulative merge throttle time across primary shards,,0.25708333333333333,min
Median cumulative merge throttle time across primary shards,,0.30196666666666666,min
Max cumulative merge throttle time across primary shards,,0.6253666666666666,min
Cumulative refresh time of primary shards,,0.6294833333333333,min
Cumulative refresh count of primary shards,,52,
Min cumulative refresh time across primary shards,,0.16898333333333332,min
Median cumulative refresh time across primary shards,,0.22388333333333332,min
Max cumulative refresh time across primary shards,,0.23661666666666664,min
Cumulative flush time of primary shards,,0.41368333333333335,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.10644999999999999,min
Median cumulative flush time across primary shards,,0.1505166666666667,min
Max cumulative flush time across primary shards,,0.15671666666666667,min
Total Young Gen GC time,,1.779,s
Total Young Gen GC count,,138,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.687870911322534,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,35,
error rate,index-append,0.00,%
Min Throughput,match-all,11676.84,ops/s
Mean Throughput,match-all,13219.35,ops/s
Median Throughput,match-all,13420.01,ops/s
Max Throughput,match-all,14569.44,ops/s
50th percentile latency,match-all,4224.439155500022,ms
90th percentile latency,match-all,7466.3203912997915,ms
99th percentile latency,match-all,7931.607984050074,ms
99.9th percentile latency,match-all,8027.566537255911,ms
99.99th percentile latency,match-all,8058.020557709056,ms
100th percentile latency,match-all,8066.730753000002,ms
50th percentile service time,match-all,1.5609679999215587,ms
90th percentile service time,match-all,2.7016352999225997,ms
99th percentile service time,match-all,68.42316180989663,ms
99.9th percentile service time,match-all,116.55290891409062,ms
99.99th percentile service time,match-all,307.5672571640561,ms
100th percentile service time,match-all,510.77495200001977,ms
error rate,match-all,0.00,%
Min Throughput,term,11721.48,ops/s
Mean Throughput,term,13463.56,ops/s
Median Throughput,term,14256.81,ops/s
Max Throughput,term,14689.94,ops/s
50th percentile latency,term,4255.97555249999,ms
90th percentile latency,term,7414.73682290009,ms
99th percentile latency,term,7806.388387889977,ms
99.9th percentile latency,term,7867.053683749122,ms
99.99th percentile latency,term,7890.518334602786,ms
100th percentile latency,term,7899.336064000181,ms
50th percentile service time,term,1.5739015000235668,ms
90th percentile service time,term,2.4928001998659965,ms
99th percentile service time,term,68.0026640698725,ms
99.9th percentile service time,term,93.05836595601848,ms
99.99th percentile service time,term,168.8874679257377,ms
100th percentile service time,term,490.9614710002188,ms
error rate,term,0.00,%
Min Throughput,phrase,12795.10,ops/s
Mean Throughput,phrase,14331.04,ops/s
Median Throughput,phrase,14688.62,ops/s
Max Throughput,phrase,15390.42,ops/s
50th percentile latency,phrase,4070.7494654999437,ms
90th percentile latency,phrase,6862.385587600033,ms
99th percentile latency,phrase,7251.814118799801,ms
99.9th percentile latency,phrase,7318.545501626002,ms
99.99th percentile latency,phrase,7343.733087052867,ms
100th percentile latency,phrase,7349.638271000231,ms
50th percentile service time,phrase,1.787787000012031,ms
90th percentile service time,phrase,4.257589399958305,ms
99th percentile service time,phrase,57.95803700000542,ms
99.9th percentile service time,phrase,82.47464309292208,ms
99.99th percentile service time,phrase,100.0153737001842,ms
100th percentile service time,phrase,136.51997099987057,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,165.11,ops/s
Mean Throughput,country_agg_uncached,165.63,ops/s
Median Throughput,country_agg_uncached,165.67,ops/s
Max Throughput,country_agg_uncached,166.00,ops/s
50th percentile latency,country_agg_uncached,96132.97978549998,ms
90th percentile latency,country_agg_uncached,111364.79805730005,ms
99th percentile latency,country_agg_uncached,114666.32996533993,ms
99.9th percentile latency,country_agg_uncached,115021.61371987197,ms
100th percentile latency,country_agg_uncached,115110.14499499992,ms
50th percentile service time,country_agg_uncached,372.2293465000348,ms
90th percentile service time,country_agg_uncached,439.34114960015904,ms
99th percentile service time,country_agg_uncached,499.85059890018647,ms
99.9th percentile service time,country_agg_uncached,567.8482287229219,ms
100th percentile service time,country_agg_uncached,610.8714880001571,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,1668.22,pages/s
Mean Throughput,scroll,1681.64,pages/s
Median Throughput,scroll,1681.60,pages/s
Max Throughput,scroll,1686.29,pages/s
50th percentile latency,scroll,238018.51636150002,ms
90th percentile latency,scroll,275748.9071828001,ms
99th percentile latency,scroll,283659.7691279099,ms
99.9th percentile latency,scroll,284763.99349834997,ms
100th percentile latency,scroll,285250.5274340001,ms
50th percentile service time,scroll,898.1558875000246,ms
90th percentile service time,scroll,1086.6837326998848,ms
99th percentile service time,scroll,1299.0127612200022,ms
99.9th percentile service time,scroll,1553.340082068011,ms
100th percentile service time,scroll,1839.9379950001276,ms
error rate,scroll,0.00,%
