Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.413649999999999,min
Min cumulative indexing time across primary shards,,3.040833333333333,min
Median cumulative indexing time across primary shards,,3.0904833333333332,min
Max cumulative indexing time across primary shards,,3.2823333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.477316666666667,min
Cumulative merge count of primary shards,,48,
Min cumulative merge time across primary shards,,0.8271,min
Median cumulative merge time across primary shards,,1.1238,min
Max cumulative merge time across primary shards,,1.5264166666666665,min
Cumulative merge throttle time of primary shards,,1.4458,min
Min cumulative merge throttle time across primary shards,,0.27566666666666667,min
Median cumulative merge throttle time across primary shards,,0.48046666666666665,min
Max cumulative merge throttle time across primary shards,,0.6896666666666668,min
Cumulative refresh time of primary shards,,0.6366499999999999,min
Cumulative refresh count of primary shards,,43,
Min cumulative refresh time across primary shards,,0.10475,min
Median cumulative refresh time across primary shards,,0.23261666666666667,min
Max cumulative refresh time across primary shards,,0.29928333333333335,min
Cumulative flush time of primary shards,,0.5282666666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.09953333333333333,min
Median cumulative flush time across primary shards,,0.14356666666666668,min
Max cumulative flush time across primary shards,,0.2851666666666667,min
Total Young Gen GC time,,2.545,s
Total Young Gen GC count,,138,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.768293844535947,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,42,
error rate,index-append,0.00,%
Min Throughput,match-all,15821.83,ops/s
Mean Throughput,match-all,17457.80,ops/s
Median Throughput,match-all,17821.59,ops/s
Max Throughput,match-all,18606.95,ops/s
50th percentile latency,match-all,3345.791791500119,ms
90th percentile latency,match-all,4619.124291900175,ms
99th percentile latency,match-all,6316.542783620204,ms
99.9th percentile latency,match-all,6573.763285696009,ms
99.99th percentile latency,match-all,6700.290010386148,ms
100th percentile latency,match-all,6721.719588000042,ms
50th percentile service time,match-all,1.226947999953154,ms
90th percentile service time,match-all,1.689968599976055,ms
99th percentile service time,match-all,54.78400049008997,ms
99.9th percentile service time,match-all,92.44502197502491,ms
99.99th percentile service time,match-all,112.26538010771009,ms
100th percentile service time,match-all,405.84700800013707,ms
error rate,match-all,0.00,%
Min Throughput,term,17521.89,ops/s
Mean Throughput,term,18362.63,ops/s
Median Throughput,term,18497.57,ops/s
Max Throughput,term,18933.51,ops/s
50th percentile latency,term,3132.44759849988,ms
90th percentile latency,term,4319.451354899957,ms
99th percentile latency,term,4698.182606349895,ms
99.9th percentile latency,term,4877.488970635893,ms
99.99th percentile latency,term,5106.1808973694,ms
100th percentile latency,term,5128.105245999905,ms
50th percentile service time,term,1.2704550000535164,ms
90th percentile service time,term,1.7179987000190522,ms
99th percentile service time,term,51.98457872002337,ms
99.9th percentile service time,term,70.62014306405307,ms
99.99th percentile service time,term,88.50603131904651,ms
100th percentile service time,term,116.697110999894,ms
error rate,term,0.00,%
Min Throughput,phrase,15833.80,ops/s
Mean Throughput,phrase,17355.72,ops/s
Median Throughput,phrase,17887.83,ops/s
Max Throughput,phrase,18260.68,ops/s
50th percentile latency,phrase,3220.5637155000204,ms
90th percentile latency,phrase,4579.819056600036,ms
99th percentile latency,phrase,5779.801565830185,ms
99.9th percentile latency,phrase,5967.536628193997,ms
99.99th percentile latency,phrase,6134.392766706556,ms
100th percentile latency,phrase,6157.806537999932,ms
50th percentile service time,phrase,1.5672315000756498,ms
90th percentile service time,phrase,1.9732537001800665,ms
99th percentile service time,phrase,44.55570421000402,ms
99.9th percentile service time,phrase,85.68545581810267,ms
99.99th percentile service time,phrase,104.70532730761751,ms
100th percentile service time,phrase,110.07346999986112,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,136.82,ops/s
Mean Throughput,country_agg_uncached,137.21,ops/s
Median Throughput,country_agg_uncached,137.25,ops/s
Max Throughput,country_agg_uncached,137.52,ops/s
50th percentile latency,country_agg_uncached,115874.05922849996,ms
90th percentile latency,country_agg_uncached,134298.7967695999,ms
99th percentile latency,country_agg_uncached,138321.97660029994,ms
99.9th percentile latency,country_agg_uncached,138762.93276739,ms
100th percentile latency,country_agg_uncached,138941.21263800003,ms
50th percentile service time,country_agg_uncached,453.8299600000073,ms
90th percentile service time,country_agg_uncached,524.5233354000449,ms
99th percentile service time,country_agg_uncached,605.6685367299248,ms
99.9th percentile service time,country_agg_uncached,659.8276807299825,ms
100th percentile service time,country_agg_uncached,731.2402140000813,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2351.59,pages/s
Mean Throughput,scroll,2362.41,pages/s
Median Throughput,scroll,2362.75,pages/s
Max Throughput,scroll,2366.50,pages/s
50th percentile latency,scroll,169130.83402400004,ms
90th percentile latency,scroll,196170.93102519988,ms
99th percentile latency,scroll,201779.99187350998,ms
99.9th percentile latency,scroll,203695.2023611591,ms
100th percentile latency,scroll,204168.09955400004,ms
50th percentile service time,scroll,622.87270000013,ms
90th percentile service time,scroll,730.0536115999648,ms
99th percentile service time,scroll,893.1101208000109,ms
99.9th percentile service time,scroll,985.2887260539958,ms
100th percentile service time,scroll,1057.173382999963,ms
error rate,scroll,0.00,%
