Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.73805,min
Min cumulative indexing time across primary shards,,2.434566666666667,min
Median cumulative indexing time across primary shards,,2.5266666666666664,min
Max cumulative indexing time across primary shards,,2.776816666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.8351166666666665,min
Cumulative merge count of primary shards,,70,
Min cumulative merge time across primary shards,,1.0004833333333334,min
Median cumulative merge time across primary shards,,1.2790833333333333,min
Max cumulative merge time across primary shards,,1.55555,min
Cumulative merge throttle time of primary shards,,1.65225,min
Min cumulative merge throttle time across primary shards,,0.31620000000000004,min
Median cumulative merge throttle time across primary shards,,0.5214166666666666,min
Max cumulative merge throttle time across primary shards,,0.8146333333333333,min
Cumulative refresh time of primary shards,,0.32315,min
Cumulative refresh count of primary shards,,56,
Min cumulative refresh time across primary shards,,0.07466666666666667,min
Median cumulative refresh time across primary shards,,0.12073333333333333,min
Max cumulative refresh time across primary shards,,0.12775,min
Cumulative flush time of primary shards,,0.2579166666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.06746666666666666,min
Median cumulative flush time across primary shards,,0.07523333333333333,min
Max cumulative flush time across primary shards,,0.11521666666666668,min
Total Young Gen GC time,,178.102,s
Total Young Gen GC count,,6681,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.757296216674149,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,31,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.86,ops/s
Mean Throughput,index-stats,499.94,ops/s
Median Throughput,index-stats,499.93,ops/s
Max Throughput,index-stats,500.43,ops/s
50th percentile latency,index-stats,1.7044299999042778,ms
90th percentile latency,index-stats,2.1700230046690194,ms
99th percentile latency,index-stats,2.5125504468815056,ms
99.9th percentile latency,index-stats,3.370511630778674,ms
99.99th percentile latency,index-stats,7.371637488355305,ms
100th percentile latency,index-stats,8.173818003569977,ms
50th percentile service time,index-stats,0.8301594999693407,ms
90th percentile service time,index-stats,1.0891524998896784,ms
99th percentile service time,index-stats,1.3064157800545222,ms
99.9th percentile service time,index-stats,1.4842745599494287,ms
99.99th percentile service time,index-stats,6.6286687132004225,ms
100th percentile service time,index-stats,6.931150000127673,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,499.00,ops/s
Mean Throughput,node-stats,499.82,ops/s
Median Throughput,node-stats,499.84,ops/s
Max Throughput,node-stats,501.95,ops/s
50th percentile latency,node-stats,3.2679209999741943,ms
90th percentile latency,node-stats,4.371924299766761,ms
99th percentile latency,node-stats,5.884512520040063,ms
99.9th percentile latency,node-stats,9.439386509008838,ms
99.99th percentile latency,node-stats,72.53522314898159,ms
100th percentile latency,node-stats,77.047888999914,ms
50th percentile service time,node-stats,2.3251549999940835,ms
90th percentile service time,node-stats,3.2575338000469856,ms
99th percentile service time,node-stats,4.860529839922948,ms
99.9th percentile service time,node-stats,6.150875005098187,ms
99.99th percentile service time,node-stats,71.84864736847108,ms
100th percentile service time,node-stats,76.26743899982102,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.27,ops/s
Mean Throughput,match-all,499.60,ops/s
Median Throughput,match-all,499.63,ops/s
Max Throughput,match-all,499.76,ops/s
50th percentile latency,match-all,2.210345500202493,ms
90th percentile latency,match-all,2.6774792998821795,ms
99th percentile latency,match-all,3.058185549873542,ms
99.9th percentile latency,match-all,24.615458097129533,ms
99.99th percentile latency,match-all,40.35340017280599,ms
100th percentile latency,match-all,40.785824001886795,ms
50th percentile service time,match-all,1.2720060000219746,ms
90th percentile service time,match-all,1.5870700999585097,ms
99th percentile service time,match-all,1.872799780021524,ms
99.9th percentile service time,match-all,23.637114059140078,ms
99.99th percentile service time,match-all,39.363579510213405,ms
100th percentile service time,match-all,39.762186999951155,ms
error rate,match-all,0.00,%
Min Throughput,term,499.81,ops/s
Mean Throughput,term,499.90,ops/s
Median Throughput,term,499.91,ops/s
Max Throughput,term,499.94,ops/s
50th percentile latency,term,2.3985325021840254,ms
90th percentile latency,term,2.87896669985912,ms
99th percentile latency,term,3.2677963461333097,ms
99.9th percentile latency,term,41.574915001008506,ms
99.99th percentile latency,term,55.723235552306406,ms
100th percentile latency,term,56.20245100021748,ms
50th percentile service time,term,1.4085284999509895,ms
90th percentile service time,term,1.7933937998350302,ms
99th percentile service time,term,2.127219189931111,ms
99.9th percentile service time,term,40.51061549285556,ms
99.99th percentile service time,term,54.438972655043116,ms
100th percentile service time,term,54.95920999987902,ms
error rate,term,0.00,%
Min Throughput,phrase,499.61,ops/s
Mean Throughput,phrase,499.81,ops/s
Median Throughput,phrase,499.81,ops/s
Max Throughput,phrase,500.34,ops/s
50th percentile latency,phrase,2.298665000125766,ms
90th percentile latency,phrase,2.7635086001737363,ms
99th percentile latency,phrase,3.14048428296701,ms
99.9th percentile latency,phrase,18.974469045997136,ms
99.99th percentile latency,phrase,31.22583778215741,ms
100th percentile latency,phrase,34.26743899944995,ms
50th percentile service time,phrase,1.350051499912297,ms
90th percentile service time,phrase,1.671552500101825,ms
99th percentile service time,phrase,1.9671940199168603,ms
99.9th percentile service time,phrase,18.0877196510401,ms
99.99th percentile service time,phrase,30.45279879515049,ms
100th percentile service time,phrase,32.9977289998169,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,259.89,ops/s
Mean Throughput,country_agg_uncached,262.01,ops/s
Median Throughput,country_agg_uncached,262.19,ops/s
Max Throughput,country_agg_uncached,263.51,ops/s
50th percentile latency,country_agg_uncached,28300.11217100014,ms
90th percentile latency,country_agg_uncached,32636.160929799873,ms
99th percentile latency,country_agg_uncached,34567.9012856,ms
99.9th percentile latency,country_agg_uncached,35208.43236520309,ms
100th percentile latency,country_agg_uncached,35379.92904999964,ms
