Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.039,min
Min cumulative indexing time across primary shards,,2.64155,min
Median cumulative indexing time across primary shards,,2.69715,min
Max cumulative indexing time across primary shards,,2.7003,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.9769666666666668,min
Cumulative merge count of primary shards,,59,
Min cumulative merge time across primary shards,,1.1726833333333333,min
Median cumulative merge time across primary shards,,1.34175,min
Max cumulative merge time across primary shards,,1.4625333333333332,min
Cumulative merge throttle time of primary shards,,1.4726166666666667,min
Min cumulative merge throttle time across primary shards,,0.2970666666666667,min
Median cumulative merge throttle time across primary shards,,0.3294666666666667,min
Max cumulative merge throttle time across primary shards,,0.8460833333333333,min
Cumulative refresh time of primary shards,,0.42913333333333337,min
Cumulative refresh count of primary shards,,52,
Min cumulative refresh time across primary shards,,0.07678333333333334,min
Median cumulative refresh time across primary shards,,0.14535,min
Max cumulative refresh time across primary shards,,0.207,min
Cumulative flush time of primary shards,,0.40671666666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.09296666666666667,min
Median cumulative flush time across primary shards,,0.10915000000000001,min
Max cumulative flush time across primary shards,,0.2046,min
Total Young Gen GC time,,99.951,s
Total Young Gen GC count,,4696,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.688688998110592,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,30,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.92,ops/s
Mean Throughput,index-stats,499.97,ops/s
Median Throughput,index-stats,499.96,ops/s
Max Throughput,index-stats,500.47,ops/s
50th percentile latency,index-stats,2.241661000653039,ms
90th percentile latency,index-stats,2.7297868000914605,ms
99th percentile latency,index-stats,3.084260103312318,ms
99.9th percentile latency,index-stats,3.4528725101395388,ms
99.99th percentile latency,index-stats,4.860390997825583,ms
100th percentile latency,index-stats,5.315060999919297,ms
50th percentile service time,index-stats,1.3804404999291364,ms
90th percentile service time,index-stats,1.6555577000417543,ms
99th percentile service time,index-stats,1.8856133400140607,ms
99.9th percentile service time,index-stats,2.0952676599588385,ms
99.99th percentile service time,index-stats,3.619636856373977,ms
100th percentile service time,index-stats,4.053877999922406,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.65,ops/s
Mean Throughput,node-stats,499.72,ops/s
Median Throughput,node-stats,499.78,ops/s
Max Throughput,node-stats,501.39,ops/s
50th percentile latency,node-stats,4.00363300002482,ms
90th percentile latency,node-stats,5.766645000039716,ms
99th percentile latency,node-stats,7.761224459977711,ms
99.9th percentile latency,node-stats,28.58605739704765,ms
99.99th percentile latency,node-stats,71.41701996927694,ms
100th percentile latency,node-stats,83.36023399988335,ms
50th percentile service time,node-stats,3.077397500078405,ms
90th percentile service time,node-stats,4.804361799824619,ms
99th percentile service time,node-stats,6.626407129926975,ms
99.9th percentile service time,node-stats,27.710865076853477,ms
99.99th percentile service time,node-stats,70.1625724005647,ms
100th percentile service time,node-stats,82.6305869998123,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.20,ops/s
Mean Throughput,match-all,499.56,ops/s
Median Throughput,match-all,499.60,ops/s
Max Throughput,match-all,499.73,ops/s
50th percentile latency,match-all,2.7569940024250172,ms
90th percentile latency,match-all,3.455594503793691,ms
99th percentile latency,match-all,4.027762815092046,ms
99.9th percentile latency,match-all,32.35906044984016,ms
99.99th percentile latency,match-all,148.2982917339389,ms
100th percentile latency,match-all,149.115850006865,ms
50th percentile service time,match-all,1.795198500076367,ms
90th percentile service time,match-all,2.522775800002819,ms
99th percentile service time,match-all,2.9278071799308245,ms
99.9th percentile service time,match-all,31.286641515057596,ms
99.99th percentile service time,match-all,147.5588670850816,ms
100th percentile service time,match-all,148.36965899985444,ms
error rate,match-all,0.00,%
Min Throughput,term,499.75,ops/s
Mean Throughput,term,499.86,ops/s
Median Throughput,term,499.87,ops/s
Max Throughput,term,499.92,ops/s
50th percentile latency,term,2.8212645011080895,ms
90th percentile latency,term,3.5196868058619657,ms
99th percentile latency,term,4.037656685500224,ms
99.9th percentile latency,term,23.214897813056904,ms
99.99th percentile latency,term,47.31194044115888,ms
100th percentile latency,term,54.31904100009888,ms
50th percentile service time,term,1.8544159999009935,ms
90th percentile service time,term,2.5614661998588417,ms
99th percentile service time,term,2.940478039834034,ms
99.9th percentile service time,term,21.11732454484937,ms
99.99th percentile service time,term,46.48033002980554,ms
100th percentile service time,term,53.431137000188755,ms
error rate,term,0.00,%
Min Throughput,phrase,499.74,ops/s
Mean Throughput,phrase,499.86,ops/s
Median Throughput,phrase,499.87,ops/s
Max Throughput,phrase,499.91,ops/s
50th percentile latency,phrase,3.125065002905103,ms
90th percentile latency,phrase,3.7731022021944227,ms
99th percentile latency,phrase,4.294151782346489,ms
99.9th percentile latency,phrase,28.473214265659376,ms
99.99th percentile latency,phrase,35.354152343756766,ms
100th percentile latency,phrase,44.330383999749756,ms
50th percentile service time,phrase,2.214483499983544,ms
90th percentile service time,phrase,2.7919334000216622,ms
99th percentile service time,phrase,3.1580362400836752,ms
99.9th percentile service time,phrase,27.731660776698003,ms
99.99th percentile service time,phrase,34.44793062241885,ms
100th percentile service time,phrase,43.527554999855056,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,164.49,ops/s
Mean Throughput,country_agg_uncached,165.04,ops/s
Median Throughput,country_agg_uncached,165.08,ops/s
Max Throughput,country_agg_uncached,165.46,ops/s
50th percentile latency,country_agg_uncached,64507.08355799975,ms
90th percentile latency,country_agg_uncached,74670.58385890014,ms
99th percentile latency,country_agg_uncached,77053.58580994002,ms
99.9th percentile latency,country_agg_uncached,77376.77832951165,ms
100th percentile latency,country_agg_uncached,77530.69514799972,ms
50th percentile service time,country_agg_uncached,375.0812240002688,ms
90th percentile service time,country_agg_uncached,441.1266699997214,ms
99th percentile service time,country_agg_uncached,503.0519999497941,ms
99.9th percentile service time,country_agg_uncached,559.9328736300798,ms
100th percentile service time,country_agg_uncached,620.7741949997398,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,499.56,ops/s
Mean Throughput,country_agg_cached,499.69,ops/s
Median Throughput,country_agg_cached,499.71,ops/s
Max Throughput,country_agg_cached,499.78,ops/s
50th percentile latency,country_agg_cached,2.471773003890121,ms
90th percentile latency,country_agg_cached,2.957624812188442,ms
99th percentile latency,country_agg_cached,3.4074928264408313,ms
99.9th percentile latency,country_agg_cached,5.892449833810331,ms
99.99th percentile latency,country_agg_cached,44.171552304983976,ms
100th percentile latency,country_agg_cached,45.084335005867615,ms
50th percentile service time,country_agg_cached,1.5475725001579121,ms
90th percentile service time,country_agg_cached,1.8701866998981131,ms
99th percentile service time,country_agg_cached,2.16614436008058,ms
99.9th percentile service time,country_agg_cached,5.0193332192492495,ms
99.99th percentile service time,country_agg_cached,43.27615763872004,ms
100th percentile service time,country_agg_cached,44.20526100011557,ms
error rate,country_agg_cached,0.00,%
Min Throughput,scroll,1969.78,pages/s
Mean Throughput,scroll,1973.20,pages/s
Median Throughput,scroll,1971.71,pages/s
Max Throughput,scroll,1991.67,pages/s
50th percentile latency,scroll,171034.32003950002,ms
90th percentile latency,scroll,197046.04834330003,ms
99th percentile latency,scroll,201725.30993042985,ms
99.9th percentile latency,scroll,202411.47607414576,ms
100th percentile latency,scroll,202637.04131700023,ms
50th percentile service time,scroll,773.0501114999697,ms
90th percentile service time,scroll,894.6911896001438,ms
99th percentile service time,scroll,1087.8324779501145,ms
99.9th percentile service time,scroll,1195.0817339228897,ms
100th percentile service time,scroll,1290.9662289998778,ms
error rate,scroll,0.00,%
Min Throughput,expression,114.59,ops/s
Mean Throughput,expression,114.76,ops/s
Median Throughput,expression,114.77,ops/s
Max Throughput,expression,114.86,ops/s
50th percentile latency,expression,107265.61126950014,ms
90th percentile latency,expression,124381.93053059996,ms
99th percentile latency,expression,128195.24657686998,ms
99.9th percentile latency,expression,128898.41860121094,ms
100th percentile latency,expression,129256.83855299985,ms
50th percentile service time,expression,573.4055089999401,ms
90th percentile service time,expression,637.0909611002844,ms
99th percentile service time,expression,703.7628081798766,ms
99.9th percentile service time,expression,743.7478521668457,ms
100th percentile service time,expression,778.5269339997285,ms
error rate,expression,0.00,%
Min Throughput,painless_static,76.16,ops/s
Mean Throughput,painless_static,76.67,ops/s
Median Throughput,painless_static,76.69,ops/s
Max Throughput,painless_static,76.78,ops/s
50th percentile latency,painless_static,176449.7354245002,ms
90th percentile latency,painless_static,204489.82320980018,ms
99th percentile latency,painless_static,210776.19325914042,ms
99.9th percentile latency,painless_static,212327.90795587996,ms
100th percentile latency,painless_static,213632.79968999996,ms
50th percentile service time,painless_static,860.46084350005,ms
90th percentile service time,painless_static,971.235855699797,ms
99th percentile service time,painless_static,1060.6114142400838,ms
99.9th percentile service time,painless_static,1137.051799873285,ms
100th percentile service time,painless_static,1176.8261830002302,ms
error rate,painless_static,0.00,%
Min Throughput,painless_dynamic,77.39,ops/s
Mean Throughput,painless_dynamic,77.81,ops/s
Median Throughput,painless_dynamic,77.82,ops/s
Max Throughput,painless_dynamic,77.90,ops/s
50th percentile latency,painless_dynamic,173385.3395849999,ms
90th percentile latency,painless_dynamic,201034.07435379972,ms
99th percentile latency,painless_dynamic,207312.32168817014,ms
99.9th percentile latency,painless_dynamic,208633.3810303779,ms
100th percentile latency,painless_dynamic,209192.274602,ms
50th percentile service time,painless_dynamic,818.328165000139,ms
90th percentile service time,painless_dynamic,981.5712023999367,ms
99th percentile service time,painless_dynamic,1075.7525542797202,ms
99.9th percentile service time,painless_dynamic,1163.9459994302213,ms
100th percentile service time,painless_dynamic,1233.7543929997992,ms
error rate,painless_dynamic,0.00,%
Min Throughput,decay_geo_gauss_function_score,73.18,ops/s
Mean Throughput,decay_geo_gauss_function_score,73.98,ops/s
Median Throughput,decay_geo_gauss_function_score,74.00,ops/s
Max Throughput,decay_geo_gauss_function_score,74.06,ops/s
50th percentile latency,decay_geo_gauss_function_score,184129.50354400004,ms
90th percentile latency,decay_geo_gauss_function_score,213507.5361875,ms
99th percentile latency,decay_geo_gauss_function_score,220081.50240354982,ms
99.9th percentile latency,decay_geo_gauss_function_score,221711.3803320033,ms
100th percentile latency,decay_geo_gauss_function_score,223555.55642000036,ms
50th percentile service time,decay_geo_gauss_function_score,884.3911495002885,ms
90th percentile service time,decay_geo_gauss_function_score,985.5618139999933,ms
99th percentile service time,decay_geo_gauss_function_score,1076.3096595400343,ms
99.9th percentile service time,decay_geo_gauss_function_score,1154.5537424310853,ms
100th percentile service time,decay_geo_gauss_function_score,1244.5116799999596,ms
error rate,decay_geo_gauss_function_score,0.00,%
Min Throughput,decay_geo_gauss_script_score,68.29,ops/s
Mean Throughput,decay_geo_gauss_script_score,68.37,ops/s
Median Throughput,decay_geo_gauss_script_score,68.37,ops/s
Max Throughput,decay_geo_gauss_script_score,68.41,ops/s
50th percentile latency,decay_geo_gauss_script_score,201993.13481700007,ms
90th percentile latency,decay_geo_gauss_script_score,234263.54905400035,ms
99th percentile latency,decay_geo_gauss_script_score,241310.23515511016,ms
99.9th percentile latency,decay_geo_gauss_script_score,242358.6312774582,ms
100th percentile latency,decay_geo_gauss_script_score,242952.78248900012,ms
50th percentile service time,decay_geo_gauss_script_score,957.4439259999963,ms
90th percentile service time,decay_geo_gauss_script_score,1070.299571300211,ms
99th percentile service time,decay_geo_gauss_script_score,1177.7775400500016,ms
