Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.7547,min
Min cumulative indexing time across primary shards,,2.2627,min
Median cumulative indexing time across primary shards,,2.6817833333333336,min
Max cumulative indexing time across primary shards,,2.810216666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.4206999999999996,min
Cumulative merge count of primary shards,,86,
Min cumulative merge time across primary shards,,0.9077666666666667,min
Median cumulative merge time across primary shards,,1.1688666666666667,min
Max cumulative merge time across primary shards,,1.3440666666666667,min
Cumulative merge throttle time of primary shards,,1.1468333333333334,min
Min cumulative merge throttle time across primary shards,,0.32406666666666667,min
Median cumulative merge throttle time across primary shards,,0.3448,min
Max cumulative merge throttle time across primary shards,,0.4779666666666667,min
Cumulative refresh time of primary shards,,0.37856666666666666,min
Cumulative refresh count of primary shards,,60,
Min cumulative refresh time across primary shards,,0.09191666666666666,min
Median cumulative refresh time across primary shards,,0.1358,min
Max cumulative refresh time across primary shards,,0.15085,min
Cumulative flush time of primary shards,,0.30501666666666666,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08446666666666666,min
Median cumulative flush time across primary shards,,0.10901666666666668,min
Max cumulative flush time across primary shards,,0.11153333333333333,min
Total Young Gen GC time,,125.214,s
Total Young Gen GC count,,4751,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.762448051944375,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,31,
error rate,index-append,0.00,%
Min Throughput,index-stats,7361.83,ops/s
Mean Throughput,index-stats,7897.74,ops/s
Median Throughput,index-stats,7988.00,ops/s
Max Throughput,index-stats,7995.56,ops/s
50th percentile latency,index-stats,1.7338834986730944,ms
90th percentile latency,index-stats,387.0671059989035,ms
99th percentile latency,index-stats,689.8204460489616,ms
99.9th percentile latency,index-stats,846.4599114884936,ms
99.99th percentile latency,index-stats,892.9434477744296,ms
100th percentile latency,index-stats,909.1690059995017,ms
50th percentile service time,index-stats,0.7651840005564736,ms
90th percentile service time,index-stats,1.5702737993706248,ms
99th percentile service time,index-stats,72.65877546884441,ms
99.9th percentile service time,index-stats,89.02576341574117,ms
99.99th percentile service time,index-stats,311.14841606242413,ms
100th percentile service time,index-stats,487.31216399937693,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4357.42,ops/s
Mean Throughput,node-stats,4483.07,ops/s
Median Throughput,node-stats,4450.79,ops/s
Max Throughput,node-stats,4749.61,ops/s
50th percentile latency,node-stats,3781.063735999851,ms
90th percentile latency,node-stats,6568.041597800402,ms
99th percentile latency,node-stats,7381.811633471079,ms
99.9th percentile latency,node-stats,7531.563584060989,ms
99.99th percentile latency,node-stats,7573.7351320740345,ms
100th percentile latency,node-stats,7581.90665300026,ms
50th percentile service time,node-stats,4.194705999907455,ms
90th percentile service time,node-stats,41.42936920070497,ms
99th percentile service time,node-stats,73.97882595001647,ms
99.9th percentile service time,node-stats,90.93246244990507,ms
99.99th percentile service time,node-stats,382.16666669465553,ms
100th percentile service time,node-stats,487.9331550000643,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,5936.30,ops/s
Mean Throughput,match-all,7056.52,ops/s
Median Throughput,match-all,6991.51,ops/s
Max Throughput,match-all,7989.38,ops/s
50th percentile latency,match-all,1.9294980002086959,ms
90th percentile latency,match-all,284.91482220015286,ms
99th percentile latency,match-all,585.6180975797182,ms
99.9th percentile latency,match-all,646.2923789663713,ms
99.99th percentile latency,match-all,666.097621824043,ms
100th percentile latency,match-all,673.2805970004847,ms
50th percentile service time,match-all,1.0106595000252128,ms
90th percentile service time,match-all,1.3528355992093566,ms
99th percentile service time,match-all,67.61782376946991,ms
99.9th percentile service time,match-all,90.50628676776253,ms
99.99th percentile service time,match-all,100.89796248829174,ms
100th percentile service time,match-all,105.0352340007521,ms
error rate,match-all,0.00,%
Min Throughput,term,7616.82,ops/s
Mean Throughput,term,7925.79,ops/s
Median Throughput,term,7988.75,ops/s
Max Throughput,term,7993.63,ops/s
50th percentile latency,term,1.8673155009309994,ms
90th percentile latency,term,234.5541878001313,ms
99th percentile latency,term,515.7291046300088,ms
99.9th percentile latency,term,588.5357464742402,ms
99.99th percentile latency,term,616.1002617616994,ms
100th percentile latency,term,630.9145680006623,ms
50th percentile service time,term,0.949262999711209,ms
90th percentile service time,term,1.345352099633601,ms
99th percentile service time,term,68.32708888996423,ms
99.9th percentile service time,term,91.07348173673088,ms
99.99th percentile service time,term,99.41024519793815,ms
100th percentile service time,term,104.87427799853322,ms
error rate,term,0.00,%
Min Throughput,phrase,7863.79,ops/s
Mean Throughput,phrase,7913.30,ops/s
Median Throughput,phrase,7919.60,ops/s
Max Throughput,phrase,7943.27,ops/s
50th percentile latency,phrase,1.87250450017018,ms
90th percentile latency,phrase,22.87058060010167,ms
99th percentile latency,phrase,252.13836215989446,ms
99.9th percentile latency,phrase,326.96178966996655,ms
99.99th percentile latency,phrase,358.5153626032311,ms
100th percentile latency,phrase,370.90242200065404,ms
50th percentile service time,phrase,1.0398644999440876,ms
90th percentile service time,phrase,1.350433200786938,ms
99th percentile service time,phrase,23.12291152888068,ms
99.9th percentile service time,phrase,82.25504095956312,ms
99.99th percentile service time,phrase,107.98496372353664,ms
100th percentile service time,phrase,145.25196099930326,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,242.58,ops/s
Mean Throughput,country_agg_uncached,243.22,ops/s
Median Throughput,country_agg_uncached,243.23,ops/s
Max Throughput,country_agg_uncached,243.49,ops/s
50th percentile latency,country_agg_uncached,63445.69554749978,ms
90th percentile latency,country_agg_uncached,73735.93521839975,ms
99th percentile latency,country_agg_uncached,76016.23889185034,ms
99.9th percentile latency,country_agg_uncached,76287.19223571965,ms
100th percentile latency,country_agg_uncached,76405.82500799974,ms
50th percentile service time,country_agg_uncached,255.35736749952775,ms
90th percentile service time,country_agg_uncached,315.4128406989912,ms
99th percentile service time,country_agg_uncached,361.8469203308087,ms
99.9th percentile service time,country_agg_uncached,410.78154835227,ms
100th percentile service time,country_agg_uncached,449.9552600009338,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,7870.63,ops/s
Mean Throughput,country_agg_cached,7945.84,ops/s
Median Throughput,country_agg_cached,7954.86,ops/s
Max Throughput,country_agg_cached,7967.51,ops/s
50th percentile latency,country_agg_cached,1.6401945003963192,ms
90th percentile latency,country_agg_cached,2.1522354994885973,ms
99th percentile latency,country_agg_cached,141.27371053131372,ms
99.9th percentile latency,country_agg_cached,245.61029323394374,ms
99.99th percentile latency,country_agg_cached,266.6375422901523,ms
100th percentile latency,country_agg_cached,276.67278300032194,ms
50th percentile service time,country_agg_cached,0.8146749996740255,ms
90th percentile service time,country_agg_cached,1.0365382986492477,ms
